"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","670201905.57","bilanz","ktn_gdn_vs","CHF","fs"
"101","","2019","1538934853.8","bilanz","ktn_gdn_vs","CHF","fs"
"102","","2019","148379129.5","bilanz","ktn_gdn_vs","CHF","fs"
"104","","2019","943354167.9","bilanz","ktn_gdn_vs","CHF","fs"
"106","","2019","24660221.79","bilanz","ktn_gdn_vs","CHF","fs"
"107","","2019","775157616.07","bilanz","ktn_gdn_vs","CHF","fs"
"108","","2019","597432143.77","bilanz","ktn_gdn_vs","CHF","fs"
"109","","2019","44531953.43","bilanz","ktn_gdn_vs","CHF","fs"
"140","","2019","2562363954.13","bilanz","ktn_gdn_vs","CHF","fs"
"141","","2019","","bilanz","ktn_gdn_vs","CHF","fs"
"142","","2019","4522113","bilanz","ktn_gdn_vs","CHF","fs"
"143","","2019","156930463.67","bilanz","ktn_gdn_vs","CHF","fs"
"144","","2019","213144517.8","bilanz","ktn_gdn_vs","CHF","fs"
"145","","2019","1036922686.2","bilanz","ktn_gdn_vs","CHF","fs"
"146","","2019","285112735.85","bilanz","ktn_gdn_vs","CHF","fs"
"147","","2019","","bilanz","ktn_gdn_vs","CHF","fs"
"148","","2019","","bilanz","ktn_gdn_vs","CHF","fs"
"200","","2019","1042558939.55","bilanz","ktn_gdn_vs","CHF","fs"
"201","","2019","408654705.08","bilanz","ktn_gdn_vs","CHF","fs"
"204","","2019","582563196.56","bilanz","ktn_gdn_vs","CHF","fs"
"205","","2019","47121027.52","bilanz","ktn_gdn_vs","CHF","fs"
"206","","2019","2359152217.6","bilanz","ktn_gdn_vs","CHF","fs"
"207","","2019","","bilanz","ktn_gdn_vs","CHF","fs"
"208","","2019","1617537410.42","bilanz","ktn_gdn_vs","CHF","fs"
"209","","2019","313970457.93","bilanz","ktn_gdn_vs","CHF","fs"
"290","","2019","56098957.87","bilanz","ktn_gdn_vs","CHF","fs"
"292","","2019","56988656.54","bilanz","ktn_gdn_vs","CHF","fs"
"293","","2019","496357827.42","bilanz","ktn_gdn_vs","CHF","fs"
"294","","2019","198887909.2","bilanz","ktn_gdn_vs","CHF","fs"
"295","","2019","","bilanz","ktn_gdn_vs","CHF","fs"
"296","","2019","","bilanz","ktn_gdn_vs","CHF","fs"
"298","","2019","","bilanz","ktn_gdn_vs","CHF","fs"
"299","","2019","1821757156.79","bilanz","ktn_gdn_vs","CHF","fs"
"empty","","2019","","er","ktn_gdn_vs","CHF","fs"
"empty","","2019","","er","ktn_gdn_vs","CHF","fs"
"empty","","2019","","er","ktn_gdn_vs","CHF","fs"
"empty","","2019","","er","ktn_gdn_vs","CHF","fs"
"300","","2019","38969420.68","aufwand","ktn_gdn_vs","CHF","fs"
"301","","2019","725526662.05","aufwand","ktn_gdn_vs","CHF","fs"
"302","","2019","465398029.98","aufwand","ktn_gdn_vs","CHF","fs"
"303","","2019","5037949.38","aufwand","ktn_gdn_vs","CHF","fs"
"304","","2019","1358770.29","aufwand","ktn_gdn_vs","CHF","fs"
"305","","2019","265070194.88","aufwand","ktn_gdn_vs","CHF","fs"
"306","","2019","9425300.64","aufwand","ktn_gdn_vs","CHF","fs"
"309","","2019","13128464.06","aufwand","ktn_gdn_vs","CHF","fs"
"310","","2019","72387353.43","aufwand","ktn_gdn_vs","CHF","fs"
"311","","2019","40823950.68","aufwand","ktn_gdn_vs","CHF","fs"
"312","","2019","68064847.93","aufwand","ktn_gdn_vs","CHF","fs"
"313","","2019","291094269.74","aufwand","ktn_gdn_vs","CHF","fs"
"314","","2019","190305443.7","aufwand","ktn_gdn_vs","CHF","fs"
"315","","2019","42842301.97","aufwand","ktn_gdn_vs","CHF","fs"
"316","","2019","75265630.01","aufwand","ktn_gdn_vs","CHF","fs"
"317","","2019","20439124.53","aufwand","ktn_gdn_vs","CHF","fs"
"318","","2019","41724725.55","aufwand","ktn_gdn_vs","CHF","fs"
"319","","2019","34406852.89","aufwand","ktn_gdn_vs","CHF","fs"
"320","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"331","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"337","","2019","342299038.36","aufwand","ktn_gdn_vs","CHF","fs"
"338","","2019","67699815.01","aufwand","ktn_gdn_vs","CHF","fs"
"340","","2019","57951619.84","aufwand","ktn_gdn_vs","CHF","fs"
"341","","2019","501993.62","aufwand","ktn_gdn_vs","CHF","fs"
"342","","2019","19715.67","aufwand","ktn_gdn_vs","CHF","fs"
"343","","2019","2351693.79","aufwand","ktn_gdn_vs","CHF","fs"
"344","","2019","3627614.2","aufwand","ktn_gdn_vs","CHF","fs"
"349","","2019","8784324.23","aufwand","ktn_gdn_vs","CHF","fs"
"350","","2019","9701620.13","aufwand","ktn_gdn_vs","CHF","fs"
"351","","2019","104530024.84","aufwand","ktn_gdn_vs","CHF","fs"
"352","","2019","30003744.25","aufwand","ktn_gdn_vs","CHF","fs"
"3600","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36010","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36011","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36012","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36013","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36014","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36015","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36016","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36017","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36018","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36019","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36021","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36022","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36023","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36029","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"3603","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"3604","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"3610","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"3611","","2019","17360832.25","aufwand","ktn_gdn_vs","CHF","fs"
"3612","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"3613","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"3614","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"3620","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36211","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36212","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36213","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36214","","2019","3527824","aufwand","ktn_gdn_vs","CHF","fs"
"36215","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36216","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36217","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36219","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36221","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36222","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36223","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36224","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36225","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
"36226","","2019","","aufwand","ktn_gdn_vs","CHF","fs"
