"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","527765645.04","bilanz","ktn_gdn_zg","CHF","fs"
"101","","2016","308585516.14","bilanz","ktn_gdn_zg","CHF","fs"
"102","","2016","84515782.85","bilanz","ktn_gdn_zg","CHF","fs"
"104","","2016","112932209.5","bilanz","ktn_gdn_zg","CHF","fs"
"106","","2016","1244704.03","bilanz","ktn_gdn_zg","CHF","fs"
"107","","2016","368071831.37","bilanz","ktn_gdn_zg","CHF","fs"
"108","","2016","427145692.45","bilanz","ktn_gdn_zg","CHF","fs"
"109","","2016","54016.9","bilanz","ktn_gdn_zg","CHF","fs"
"140","","2016","812414695.73","bilanz","ktn_gdn_zg","CHF","fs"
"141","","2016","","bilanz","ktn_gdn_zg","CHF","fs"
"142","","2016","444107.82","bilanz","ktn_gdn_zg","CHF","fs"
"143","","2016","","bilanz","ktn_gdn_zg","CHF","fs"
"144","","2016","41361583.17","bilanz","ktn_gdn_zg","CHF","fs"
"145","","2016","89506812","bilanz","ktn_gdn_zg","CHF","fs"
"146","","2016","90584012.23","bilanz","ktn_gdn_zg","CHF","fs"
"147","","2016","","bilanz","ktn_gdn_zg","CHF","fs"
"148","","2016","-7463267.39","bilanz","ktn_gdn_zg","CHF","fs"
"200","","2016","646241388.8","bilanz","ktn_gdn_zg","CHF","fs"
"201","","2016","22709670.25","bilanz","ktn_gdn_zg","CHF","fs"
"204","","2016","106548736.84","bilanz","ktn_gdn_zg","CHF","fs"
"205","","2016","18535404.12","bilanz","ktn_gdn_zg","CHF","fs"
"206","","2016","175681758.7","bilanz","ktn_gdn_zg","CHF","fs"
"207","","2016","","bilanz","ktn_gdn_zg","CHF","fs"
"208","","2016","53761619.51","bilanz","ktn_gdn_zg","CHF","fs"
"209","","2016","11399530.62","bilanz","ktn_gdn_zg","CHF","fs"
"290","","2016","293768671.66","bilanz","ktn_gdn_zg","CHF","fs"
"292","","2016","","bilanz","ktn_gdn_zg","CHF","fs"
"293","","2016","39641892.05","bilanz","ktn_gdn_zg","CHF","fs"
"294","","2016","187436542.74","bilanz","ktn_gdn_zg","CHF","fs"
"295","","2016","","bilanz","ktn_gdn_zg","CHF","fs"
"296","","2016","255314162.43","bilanz","ktn_gdn_zg","CHF","fs"
"298","","2016","20120841.66","bilanz","ktn_gdn_zg","CHF","fs"
"299","","2016","1026003122.46","bilanz","ktn_gdn_zg","CHF","fs"
"empty","","2016","","er","ktn_gdn_zg","CHF","fs"
"empty","","2016","","er","ktn_gdn_zg","CHF","fs"
"empty","","2016","","er","ktn_gdn_zg","CHF","fs"
"empty","","2016","","er","ktn_gdn_zg","CHF","fs"
"300","","2016","15431638.1","aufwand","ktn_gdn_zg","CHF","fs"
"301","","2016","287342006.92","aufwand","ktn_gdn_zg","CHF","fs"
"302","","2016","230389645.78","aufwand","ktn_gdn_zg","CHF","fs"
"303","","2016","516375.72","aufwand","ktn_gdn_zg","CHF","fs"
"304","","2016","2976953.45","aufwand","ktn_gdn_zg","CHF","fs"
"305","","2016","111493044.9","aufwand","ktn_gdn_zg","CHF","fs"
"306","","2016","4455230","aufwand","ktn_gdn_zg","CHF","fs"
"309","","2016","11082713.47","aufwand","ktn_gdn_zg","CHF","fs"
"310","","2016","22817313.56","aufwand","ktn_gdn_zg","CHF","fs"
"311","","2016","13188082.58","aufwand","ktn_gdn_zg","CHF","fs"
"312","","2016","13093708.68","aufwand","ktn_gdn_zg","CHF","fs"
"313","","2016","82754040.06","aufwand","ktn_gdn_zg","CHF","fs"
"314","","2016","45400450.07","aufwand","ktn_gdn_zg","CHF","fs"
"315","","2016","18481660.5","aufwand","ktn_gdn_zg","CHF","fs"
"316","","2016","18770426.4","aufwand","ktn_gdn_zg","CHF","fs"
"317","","2016","6190245.39","aufwand","ktn_gdn_zg","CHF","fs"
"318","","2016","6783769.68","aufwand","ktn_gdn_zg","CHF","fs"
"319","","2016","6439085.85","aufwand","ktn_gdn_zg","CHF","fs"
"320","","2016","","aufwand","ktn_gdn_zg","CHF","fs"
"331","","2016","","aufwand","ktn_gdn_zg","CHF","fs"
"337","","2016","121384305.19","aufwand","ktn_gdn_zg","CHF","fs"
"338","","2016","263914.2","aufwand","ktn_gdn_zg","CHF","fs"
"340","","2016","2060733.14","aufwand","ktn_gdn_zg","CHF","fs"
"341","","2016","132816.42","aufwand","ktn_gdn_zg","CHF","fs"
"342","","2016","9641.8","aufwand","ktn_gdn_zg","CHF","fs"
"343","","2016","2679518.5","aufwand","ktn_gdn_zg","CHF","fs"
"344","","2016","","aufwand","ktn_gdn_zg","CHF","fs"
"349","","2016","4632488.75","aufwand","ktn_gdn_zg","CHF","fs"
"350","","2016","0.55","aufwand","ktn_gdn_zg","CHF","fs"
"351","","2016","3839459.89","aufwand","ktn_gdn_zg","CHF","fs"
"352","","2016","","aufwand","ktn_gdn_zg","CHF","fs"
"3600","","2016","","aufwand","ktn_gdn_zg","CHF","fs"
"36010","","2016","","aufwand","ktn_gdn_zg","CHF","fs"
"36011","","2016","","aufwand","ktn_gdn_zg","CHF","fs"
