"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","2934562770.61","bilanz","ktn_gdn_zh","CHF","fs"
"101","","2015","6820256014.43","bilanz","ktn_gdn_zh","CHF","fs"
"102","","2015","804631949.22","bilanz","ktn_gdn_zh","CHF","fs"
"104","","2015","1179623419.57","bilanz","ktn_gdn_zh","CHF","fs"
"106","","2015","183855690.97","bilanz","ktn_gdn_zh","CHF","fs"
"107","","2015","697360753.92","bilanz","ktn_gdn_zh","CHF","fs"
"108","","2015","6558176209.56","bilanz","ktn_gdn_zh","CHF","fs"
"109","","2015","257657044.27","bilanz","ktn_gdn_zh","CHF","fs"
"140","","2015","19962693267.21","bilanz","ktn_gdn_zh","CHF","fs"
"141","","2015","","bilanz","ktn_gdn_zh","CHF","fs"
"142","","2015","117053812.33","bilanz","ktn_gdn_zh","CHF","fs"
"143","","2015","877493479.9","bilanz","ktn_gdn_zh","CHF","fs"
"144","","2015","800349028.43","bilanz","ktn_gdn_zh","CHF","fs"
"145","","2015","3229022997.94","bilanz","ktn_gdn_zh","CHF","fs"
"146","","2015","3052408137.99","bilanz","ktn_gdn_zh","CHF","fs"
"147","","2015","","bilanz","ktn_gdn_zh","CHF","fs"
"148","","2015","","bilanz","ktn_gdn_zh","CHF","fs"
"200","","2015","5541997148.14","bilanz","ktn_gdn_zh","CHF","fs"
"201","","2015","2013870747.95","bilanz","ktn_gdn_zh","CHF","fs"
"204","","2015","2248201328.77","bilanz","ktn_gdn_zh","CHF","fs"
"205","","2015","369173677.19","bilanz","ktn_gdn_zh","CHF","fs"
"206","","2015","15130098303.99","bilanz","ktn_gdn_zh","CHF","fs"
"207","","2015","","bilanz","ktn_gdn_zh","CHF","fs"
"208","","2015","1754196538.28","bilanz","ktn_gdn_zh","CHF","fs"
"209","","2015","4850445486.85","bilanz","ktn_gdn_zh","CHF","fs"
"290","","2015","3109690174.72","bilanz","ktn_gdn_zh","CHF","fs"
"292","","2015","44352758.27","bilanz","ktn_gdn_zh","CHF","fs"
"293","","2015","30091793.31","bilanz","ktn_gdn_zh","CHF","fs"
"294","","2015","","bilanz","ktn_gdn_zh","CHF","fs"
"295","","2015","","bilanz","ktn_gdn_zh","CHF","fs"
"296","","2015","","bilanz","ktn_gdn_zh","CHF","fs"
"298","","2015","240371228.29","bilanz","ktn_gdn_zh","CHF","fs"
"299","","2015","12142655390.59","bilanz","ktn_gdn_zh","CHF","fs"
"empty","","2015","","er","ktn_gdn_zh","CHF","fs"
"empty","","2015","","er","ktn_gdn_zh","CHF","fs"
"empty","","2015","","er","ktn_gdn_zh","CHF","fs"
"empty","","2015","","er","ktn_gdn_zh","CHF","fs"
"300","","2015","151773434.82","aufwand","ktn_gdn_zh","CHF","fs"
"301","","2015","3813092553.17","aufwand","ktn_gdn_zh","CHF","fs"
"302","","2015","2871688295.05","aufwand","ktn_gdn_zh","CHF","fs"
"303","","2015","37231359.21","aufwand","ktn_gdn_zh","CHF","fs"
"304","","2015","40164097.04","aufwand","ktn_gdn_zh","CHF","fs"
"305","","2015","1261404334.33","aufwand","ktn_gdn_zh","CHF","fs"
"306","","2015","15870700.15","aufwand","ktn_gdn_zh","CHF","fs"
"309","","2015","84772711.08","aufwand","ktn_gdn_zh","CHF","fs"
"310","","2015","434045976.31","aufwand","ktn_gdn_zh","CHF","fs"
"311","","2015","144914935.62","aufwand","ktn_gdn_zh","CHF","fs"
"312","","2015","244198618.98","aufwand","ktn_gdn_zh","CHF","fs"
"313","","2015","1276355221.16","aufwand","ktn_gdn_zh","CHF","fs"
"314","","2015","526848880.4","aufwand","ktn_gdn_zh","CHF","fs"
"315","","2015","192496499.28","aufwand","ktn_gdn_zh","CHF","fs"
"316","","2015","316864681.45","aufwand","ktn_gdn_zh","CHF","fs"
"317","","2015","96331840.56","aufwand","ktn_gdn_zh","CHF","fs"
"318","","2015","134155927.42","aufwand","ktn_gdn_zh","CHF","fs"
"319","","2015","76428015.9","aufwand","ktn_gdn_zh","CHF","fs"
"320","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"331","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"337","","2015","1645680890.36","aufwand","ktn_gdn_zh","CHF","fs"
"338","","2015","141237772.87","aufwand","ktn_gdn_zh","CHF","fs"
"340","","2015","333337744.12","aufwand","ktn_gdn_zh","CHF","fs"
"341","","2015","2158763.31","aufwand","ktn_gdn_zh","CHF","fs"
"342","","2015","1792678.1","aufwand","ktn_gdn_zh","CHF","fs"
"343","","2015","47187171.03","aufwand","ktn_gdn_zh","CHF","fs"
"344","","2015","54706967.9","aufwand","ktn_gdn_zh","CHF","fs"
"349","","2015","58439001.15","aufwand","ktn_gdn_zh","CHF","fs"
"350","","2015","38549715.84","aufwand","ktn_gdn_zh","CHF","fs"
"351","","2015","24098999.39","aufwand","ktn_gdn_zh","CHF","fs"
"352","","2015","122229990.72","aufwand","ktn_gdn_zh","CHF","fs"
"3600","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36010","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36011","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36012","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36013","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36014","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36015","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36016","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36017","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36018","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36019","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36021","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36022","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36023","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36029","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"3603","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"3604","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"3610","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"3611","","2015","542813.48","aufwand","ktn_gdn_zh","CHF","fs"
"3612","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"3613","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"3614","","2015","5785886.55","aufwand","ktn_gdn_zh","CHF","fs"
"3620","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36211","","2015","465181920.3","aufwand","ktn_gdn_zh","CHF","fs"
"36212","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36213","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36214","","2015","20251125","aufwand","ktn_gdn_zh","CHF","fs"
"36215","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36216","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36217","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36219","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36221","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36222","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36223","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36224","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36225","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36226","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36227","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"36228","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"3624","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"3629","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"3630","","2015","3200555","aufwand","ktn_gdn_zh","CHF","fs"
"3631","","2015","108329206.06","aufwand","ktn_gdn_zh","CHF","fs"
"3632","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"3633","","2015","30981014.2","aufwand","ktn_gdn_zh","CHF","fs"
"3634","","2015","1844861278.18","aufwand","ktn_gdn_zh","CHF","fs"
"3635","","2015","437268730.58","aufwand","ktn_gdn_zh","CHF","fs"
"3636","","2015","1611775402.38","aufwand","ktn_gdn_zh","CHF","fs"
"3637","","2015","2721222942.2","aufwand","ktn_gdn_zh","CHF","fs"
"3638","","2015","7936318","aufwand","ktn_gdn_zh","CHF","fs"
"3639","","2015","37918576.91","aufwand","ktn_gdn_zh","CHF","fs"
"364","","2015","65317.5","aufwand","ktn_gdn_zh","CHF","fs"
"365","","2015","4999.37","aufwand","ktn_gdn_zh","CHF","fs"
"366","","2015","164747657.5","aufwand","ktn_gdn_zh","CHF","fs"
"369","","2015","41541.73","aufwand","ktn_gdn_zh","CHF","fs"
"380","","2015","-12326234.3","aufwand","ktn_gdn_zh","CHF","fs"
"381","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
"383","","2015","","aufwand","ktn_gdn_zh","CHF","fs"
