"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","202807145.25","bilanz","ktn_ge","CHF","fs"
"101","","2019","1219040105.36","bilanz","ktn_ge","CHF","fs"
"102","","2019","96011769.94","bilanz","ktn_ge","CHF","fs"
"104","","2019","1468460095.33","bilanz","ktn_ge","CHF","fs"
"106","","2019","15216675.04","bilanz","ktn_ge","CHF","fs"
"107","","2019","1436053317.44","bilanz","ktn_ge","CHF","fs"
"108","","2019","619542841.57","bilanz","ktn_ge","CHF","fs"
"109","","2019","","bilanz","ktn_ge","CHF","fs"
"140","","2019","12664692210.62","bilanz","ktn_ge","CHF","fs"
"141","","2019","814219","bilanz","ktn_ge","CHF","fs"
"142","","2019","145183687.89","bilanz","ktn_ge","CHF","fs"
"143","","2019","","bilanz","ktn_ge","CHF","fs"
"144","","2019","779197047.99","bilanz","ktn_ge","CHF","fs"
"145","","2019","1154823823.08","bilanz","ktn_ge","CHF","fs"
"146","","2019","996474568.15","bilanz","ktn_ge","CHF","fs"
"147","","2019","","bilanz","ktn_ge","CHF","fs"
"148","","2019","","bilanz","ktn_ge","CHF","fs"
"200","","2019","3005819438.8","bilanz","ktn_ge","CHF","fs"
"201","","2019","1899105687.34","bilanz","ktn_ge","CHF","fs"
"204","","2019","259407664.57","bilanz","ktn_ge","CHF","fs"
"205","","2019","191255307.69","bilanz","ktn_ge","CHF","fs"
"206","","2019","10805580340.59","bilanz","ktn_ge","CHF","fs"
"207","","2019","","bilanz","ktn_ge","CHF","fs"
"208","","2019","5461162919.87","bilanz","ktn_ge","CHF","fs"
"209","","2019","299896745.08","bilanz","ktn_ge","CHF","fs"
"290","","2019","135799583.22","bilanz","ktn_ge","CHF","fs"
"292","","2019","","bilanz","ktn_ge","CHF","fs"
"293","","2019","","bilanz","ktn_ge","CHF","fs"
"294","","2019","-4177422496.6","bilanz","ktn_ge","CHF","fs"
"295","","2019","","bilanz","ktn_ge","CHF","fs"
"296","","2019","346057811.3","bilanz","ktn_ge","CHF","fs"
"298","","2019","4313101","bilanz","ktn_ge","CHF","fs"
"299","","2019","2567341403.65","bilanz","ktn_ge","CHF","fs"
"empty","","2019","","er","ktn_ge","CHF","fs"
"empty","","2019","","er","ktn_ge","CHF","fs"
"empty","","2019","","er","ktn_ge","CHF","fs"
"empty","","2019","","er","ktn_ge","CHF","fs"
"300","","2019","48300392.91","aufwand","ktn_ge","CHF","fs"
"301","","2019","1531090228.71","aufwand","ktn_ge","CHF","fs"
"302","","2019","1209988324.48","aufwand","ktn_ge","CHF","fs"
"303","","2019","15443427.01","aufwand","ktn_ge","CHF","fs"
"304","","2019","67133070.23","aufwand","ktn_ge","CHF","fs"
"305","","2019","640190670.72","aufwand","ktn_ge","CHF","fs"
"306","","2019","18479748.78","aufwand","ktn_ge","CHF","fs"
"309","","2019","17586769.98","aufwand","ktn_ge","CHF","fs"
"310","","2019","82004043.7199999","aufwand","ktn_ge","CHF","fs"
"311","","2019","9383923.84","aufwand","ktn_ge","CHF","fs"
"312","","2019","40004116.58","aufwand","ktn_ge","CHF","fs"
"313","","2019","261120269.02","aufwand","ktn_ge","CHF","fs"
"314","","2019","82136781.09","aufwand","ktn_ge","CHF","fs"
"315","","2019","34900361.01","aufwand","ktn_ge","CHF","fs"
"316","","2019","81897512.58","aufwand","ktn_ge","CHF","fs"
"317","","2019","11613363.68","aufwand","ktn_ge","CHF","fs"
"318","","2019","176238453.48","aufwand","ktn_ge","CHF","fs"
"319","","2019","31047431.68","aufwand","ktn_ge","CHF","fs"
"320","","2019","","aufwand","ktn_ge","CHF","fs"
"331","","2019","","aufwand","ktn_ge","CHF","fs"
"337","","2019","488605614.27","aufwand","ktn_ge","CHF","fs"
