"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","22959343.13","bilanz","ktn_gl","CHF","fs"
"101","","2017","80893035.12","bilanz","ktn_gl","CHF","fs"
"102","","2017","","bilanz","ktn_gl","CHF","fs"
"104","","2017","3601357.3","bilanz","ktn_gl","CHF","fs"
"106","","2017","","bilanz","ktn_gl","CHF","fs"
"107","","2017","273219128.15","bilanz","ktn_gl","CHF","fs"
"108","","2017","19745209.7","bilanz","ktn_gl","CHF","fs"
"109","","2017","","bilanz","ktn_gl","CHF","fs"
"140","","2017","27971115.3","bilanz","ktn_gl","CHF","fs"
"141","","2017","","bilanz","ktn_gl","CHF","fs"
"142","","2017","1114463.7","bilanz","ktn_gl","CHF","fs"
"143","","2017","","bilanz","ktn_gl","CHF","fs"
"144","","2017","23329482.02","bilanz","ktn_gl","CHF","fs"
"145","","2017","99126851.3","bilanz","ktn_gl","CHF","fs"
"146","","2017","80054977.71","bilanz","ktn_gl","CHF","fs"
"147","","2017","","bilanz","ktn_gl","CHF","fs"
"148","","2017","-50788880.69","bilanz","ktn_gl","CHF","fs"
"200","","2017","90765191.24","bilanz","ktn_gl","CHF","fs"
"201","","2017","2e+07","bilanz","ktn_gl","CHF","fs"
"204","","2017","9812826.43","bilanz","ktn_gl","CHF","fs"
"205","","2017","1480746","bilanz","ktn_gl","CHF","fs"
"206","","2017","53141068.49","bilanz","ktn_gl","CHF","fs"
"207","","2017","","bilanz","ktn_gl","CHF","fs"
"208","","2017","3181857.75","bilanz","ktn_gl","CHF","fs"
"209","","2017","21210910.94","bilanz","ktn_gl","CHF","fs"
"290","","2017","112403101.7","bilanz","ktn_gl","CHF","fs"
"292","","2017","","bilanz","ktn_gl","CHF","fs"
"293","","2017","","bilanz","ktn_gl","CHF","fs"
"294","","2017","34345598.89","bilanz","ktn_gl","CHF","fs"
"295","","2017","34571783.41","bilanz","ktn_gl","CHF","fs"
"296","","2017","126223976.17","bilanz","ktn_gl","CHF","fs"
"298","","2017","","bilanz","ktn_gl","CHF","fs"
"299","","2017","74089021.72","bilanz","ktn_gl","CHF","fs"
"empty","","2017","","er","ktn_gl","CHF","fs"
"empty","","2017","","er","ktn_gl","CHF","fs"
"empty","","2017","","er","ktn_gl","CHF","fs"
"empty","","2017","","er","ktn_gl","CHF","fs"
"300","","2017","1222476.27","aufwand","ktn_gl","CHF","fs"
"301","","2017","46282531.91","aufwand","ktn_gl","CHF","fs"
"302","","2017","11931469.92","aufwand","ktn_gl","CHF","fs"
"303","","2017","","aufwand","ktn_gl","CHF","fs"
"304","","2017","62502.45","aufwand","ktn_gl","CHF","fs"
"305","","2017","11120353.79","aufwand","ktn_gl","CHF","fs"
"306","","2017","529762.6","aufwand","ktn_gl","CHF","fs"
"309","","2017","1046017.98","aufwand","ktn_gl","CHF","fs"
"310","","2017","2146774.13","aufwand","ktn_gl","CHF","fs"
"311","","2017","1806765.52","aufwand","ktn_gl","CHF","fs"
"312","","2017","1185465.56","aufwand","ktn_gl","CHF","fs"
"313","","2017","13258759.11","aufwand","ktn_gl","CHF","fs"
"314","","2017","5855374.14","aufwand","ktn_gl","CHF","fs"
"315","","2017","2814709.77","aufwand","ktn_gl","CHF","fs"
"316","","2017","789531.3","aufwand","ktn_gl","CHF","fs"
"317","","2017","591072.71","aufwand","ktn_gl","CHF","fs"
"318","","2017","1126875.2","aufwand","ktn_gl","CHF","fs"
"319","","2017","400308.32","aufwand","ktn_gl","CHF","fs"
"320","","2017","","aufwand","ktn_gl","CHF","fs"
"331","","2017","","aufwand","ktn_gl","CHF","fs"
"337","","2017","4551403.54","aufwand","ktn_gl","CHF","fs"
"338","","2017","","aufwand","ktn_gl","CHF","fs"
"340","","2017","362531.9","aufwand","ktn_gl","CHF","fs"
"341","","2017","","aufwand","ktn_gl","CHF","fs"
"342","","2017","10475","aufwand","ktn_gl","CHF","fs"
"343","","2017","213687.25","aufwand","ktn_gl","CHF","fs"
"344","","2017","878650","aufwand","ktn_gl","CHF","fs"
"349","","2017","765.55","aufwand","ktn_gl","CHF","fs"
"350","","2017","722034.67","aufwand","ktn_gl","CHF","fs"
"351","","2017","2319755.24","aufwand","ktn_gl","CHF","fs"
"352","","2017","","aufwand","ktn_gl","CHF","fs"
"3600","","2017","","aufwand","ktn_gl","CHF","fs"
"36010","","2017","","aufwand","ktn_gl","CHF","fs"
"36011","","2017","","aufwand","ktn_gl","CHF","fs"
"36012","","2017","","aufwand","ktn_gl","CHF","fs"
"36013","","2017","","aufwand","ktn_gl","CHF","fs"
"36014","","2017","","aufwand","ktn_gl","CHF","fs"
