"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","199925601.09","bilanz","ktn_gr","CHF","fs"
"101","","2015","419810849.37","bilanz","ktn_gr","CHF","fs"
"102","","2015","350418233.55","bilanz","ktn_gr","CHF","fs"
"104","","2015","94395387.61","bilanz","ktn_gr","CHF","fs"
"106","","2015","6872423.22","bilanz","ktn_gr","CHF","fs"
"107","","2015","1585898210.38","bilanz","ktn_gr","CHF","fs"
"108","","2015","58989036.5","bilanz","ktn_gr","CHF","fs"
"109","","2015","2145775.34","bilanz","ktn_gr","CHF","fs"
"140","","2015","505654417.32","bilanz","ktn_gr","CHF","fs"
"141","","2015","","bilanz","ktn_gr","CHF","fs"
"142","","2015","10950387.68","bilanz","ktn_gr","CHF","fs"
"143","","2015","","bilanz","ktn_gr","CHF","fs"
"144","","2015","199697072.52","bilanz","ktn_gr","CHF","fs"
"145","","2015","300854775","bilanz","ktn_gr","CHF","fs"
"146","","2015","","bilanz","ktn_gr","CHF","fs"
"147","","2015","","bilanz","ktn_gr","CHF","fs"
"148","","2015","","bilanz","ktn_gr","CHF","fs"
"200","","2015","316109808.6","bilanz","ktn_gr","CHF","fs"
"201","","2015","57666057","bilanz","ktn_gr","CHF","fs"
"204","","2015","218619516.35","bilanz","ktn_gr","CHF","fs"
"205","","2015","21255358.65","bilanz","ktn_gr","CHF","fs"
"206","","2015","450033146.36","bilanz","ktn_gr","CHF","fs"
"207","","2015","","bilanz","ktn_gr","CHF","fs"
"208","","2015","95625664.3","bilanz","ktn_gr","CHF","fs"
"209","","2015","243989861.82","bilanz","ktn_gr","CHF","fs"
"290","","2015","273938757.36","bilanz","ktn_gr","CHF","fs"
"292","","2015","","bilanz","ktn_gr","CHF","fs"
"293","","2015","105212073","bilanz","ktn_gr","CHF","fs"
"294","","2015","","bilanz","ktn_gr","CHF","fs"
"295","","2015","582574014.07","bilanz","ktn_gr","CHF","fs"
"296","","2015","426786208.45","bilanz","ktn_gr","CHF","fs"
"298","","2015","7031681.33","bilanz","ktn_gr","CHF","fs"
"299","","2015","936770022.29","bilanz","ktn_gr","CHF","fs"
"empty","","2015","","er","ktn_gr","CHF","fs"
"empty","","2015","","er","ktn_gr","CHF","fs"
"empty","","2015","","er","ktn_gr","CHF","fs"
"empty","","2015","","er","ktn_gr","CHF","fs"
"300","","2015","6712656.45","aufwand","ktn_gr","CHF","fs"
"301","","2015","278696390.23","aufwand","ktn_gr","CHF","fs"
"302","","2015","59396537.65","aufwand","ktn_gr","CHF","fs"
"303","","2015","","aufwand","ktn_gr","CHF","fs"
"304","","2015","850639.69","aufwand","ktn_gr","CHF","fs"
"305","","2015","57576240.89","aufwand","ktn_gr","CHF","fs"
"306","","2015","2827876.3","aufwand","ktn_gr","CHF","fs"
"309","","2015","5198122.05","aufwand","ktn_gr","CHF","fs"
"310","","2015","18832468.02","aufwand","ktn_gr","CHF","fs"
"311","","2015","15118137.58","aufwand","ktn_gr","CHF","fs"
"312","","2015","6790406.35","aufwand","ktn_gr","CHF","fs"
"313","","2015","114289987.18","aufwand","ktn_gr","CHF","fs"
"314","","2015","116017866.14","aufwand","ktn_gr","CHF","fs"
"315","","2015","11642287.16","aufwand","ktn_gr","CHF","fs"
"316","","2015","14902611.21","aufwand","ktn_gr","CHF","fs"
"317","","2015","6090062.5","aufwand","ktn_gr","CHF","fs"
"318","","2015","11674398.43","aufwand","ktn_gr","CHF","fs"
"319","","2015","5748951.31","aufwand","ktn_gr","CHF","fs"
"320","","2015","","aufwand","ktn_gr","CHF","fs"
"331","","2015","","aufwand","ktn_gr","CHF","fs"
"337","","2015","72263957.13","aufwand","ktn_gr","CHF","fs"
"338","","2015","10031483.91","aufwand","ktn_gr","CHF","fs"
"340","","2015","884550.13","aufwand","ktn_gr","CHF","fs"
"341","","2015","972706.76","aufwand","ktn_gr","CHF","fs"
"342","","2015","145627.81","aufwand","ktn_gr","CHF","fs"
"343","","2015","108969.65","aufwand","ktn_gr","CHF","fs"
"344","","2015","1182020.28","aufwand","ktn_gr","CHF","fs"
"349","","2015","389269.94","aufwand","ktn_gr","CHF","fs"
"350","","2015","1966477.01","aufwand","ktn_gr","CHF","fs"
"351","","2015","3468842.62","aufwand","ktn_gr","CHF","fs"
"352","","2015","48000","aufwand","ktn_gr","CHF","fs"
"3600","","2015","","aufwand","ktn_gr","CHF","fs"
"36010","","2015","","aufwand","ktn_gr","CHF","fs"
"36011","","2015","","aufwand","ktn_gr","CHF","fs"
"36012","","2015","","aufwand","ktn_gr","CHF","fs"
"36013","","2015","","aufwand","ktn_gr","CHF","fs"
"36014","","2015","","aufwand","ktn_gr","CHF","fs"
"36015","","2015","","aufwand","ktn_gr","CHF","fs"
"36016","","2015","","aufwand","ktn_gr","CHF","fs"
"36017","","2015","","aufwand","ktn_gr","CHF","fs"
"36018","","2015","","aufwand","ktn_gr","CHF","fs"
"36019","","2015","","aufwand","ktn_gr","CHF","fs"
"36021","","2015","","aufwand","ktn_gr","CHF","fs"
"36022","","2015","","aufwand","ktn_gr","CHF","fs"
"36023","","2015","","aufwand","ktn_gr","CHF","fs"
"36029","","2015","349102","aufwand","ktn_gr","CHF","fs"
"3603","","2015","","aufwand","ktn_gr","CHF","fs"
"3604","","2015","","aufwand","ktn_gr","CHF","fs"
"3610","","2015","","aufwand","ktn_gr","CHF","fs"
"3611","","2015","21450","aufwand","ktn_gr","CHF","fs"
"3612","","2015","8907905.35","aufwand","ktn_gr","CHF","fs"
"3613","","2015","","aufwand","ktn_gr","CHF","fs"
"3614","","2015","2534536.47","aufwand","ktn_gr","CHF","fs"
"3620","","2015","","aufwand","ktn_gr","CHF","fs"
"36211","","2015","","aufwand","ktn_gr","CHF","fs"
"36212","","2015","","aufwand","ktn_gr","CHF","fs"
"36213","","2015","","aufwand","ktn_gr","CHF","fs"
"36214","","2015","3128001","aufwand","ktn_gr","CHF","fs"
"36215","","2015","","aufwand","ktn_gr","CHF","fs"
"36216","","2015","","aufwand","ktn_gr","CHF","fs"
"36217","","2015","","aufwand","ktn_gr","CHF","fs"
"36219","","2015","","aufwand","ktn_gr","CHF","fs"
"36221","","2015","","aufwand","ktn_gr","CHF","fs"
"36222","","2015","","aufwand","ktn_gr","CHF","fs"
"36223","","2015","","aufwand","ktn_gr","CHF","fs"
"36224","","2015","","aufwand","ktn_gr","CHF","fs"
"36225","","2015","39488756.35","aufwand","ktn_gr","CHF","fs"
"36226","","2015","","aufwand","ktn_gr","CHF","fs"
"36227","","2015","","aufwand","ktn_gr","CHF","fs"
"36228","","2015","","aufwand","ktn_gr","CHF","fs"
"3624","","2015","","aufwand","ktn_gr","CHF","fs"
"3629","","2015","","aufwand","ktn_gr","CHF","fs"
"3630","","2015","","aufwand","ktn_gr","CHF","fs"
"3631","","2015","51442306.72","aufwand","ktn_gr","CHF","fs"
"3632","","2015","108338945.18","aufwand","ktn_gr","CHF","fs"
"3633","","2015","4626932.3","aufwand","ktn_gr","CHF","fs"
"3634","","2015","464921288.77","aufwand","ktn_gr","CHF","fs"
"3635","","2015","246728590.1","aufwand","ktn_gr","CHF","fs"
"3636","","2015","211711310.39","aufwand","ktn_gr","CHF","fs"
"3637","","2015","195658865.62","aufwand","ktn_gr","CHF","fs"
"3638","","2015","141311.3","aufwand","ktn_gr","CHF","fs"
"3639","","2015","8761550","aufwand","ktn_gr","CHF","fs"
"364","","2015","-719006","aufwand","ktn_gr","CHF","fs"
"365","","2015","","aufwand","ktn_gr","CHF","fs"
"366","","2015","85994363.02","aufwand","ktn_gr","CHF","fs"
"369","","2015","","aufwand","ktn_gr","CHF","fs"
"380","","2015","","aufwand","ktn_gr","CHF","fs"
"381","","2015","","aufwand","ktn_gr","CHF","fs"
"383","","2015","","aufwand","ktn_gr","CHF","fs"
"384","","2015","91163661.25","aufwand","ktn_gr","CHF","fs"
