"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","37008454.7","bilanz","ktn_ju","CHF","fs"
"101","","2021","194724106.33","bilanz","ktn_ju","CHF","fs"
"102","","2021","","bilanz","ktn_ju","CHF","fs"
"104","","2021","71074074.35","bilanz","ktn_ju","CHF","fs"
"106","","2021","89246.05","bilanz","ktn_ju","CHF","fs"
"107","","2021","8976290","bilanz","ktn_ju","CHF","fs"
"108","","2021","3810429.6","bilanz","ktn_ju","CHF","fs"
"109","","2021","","bilanz","ktn_ju","CHF","fs"
"140","","2021","261958140.79","bilanz","ktn_ju","CHF","fs"
"141","","2021","","bilanz","ktn_ju","CHF","fs"
"142","","2021","","bilanz","ktn_ju","CHF","fs"
"143","","2021","","bilanz","ktn_ju","CHF","fs"
"144","","2021","96663625.01","bilanz","ktn_ju","CHF","fs"
"145","","2021","37074430","bilanz","ktn_ju","CHF","fs"
"146","","2021","84164428.63","bilanz","ktn_ju","CHF","fs"
"147","","2021","","bilanz","ktn_ju","CHF","fs"
"148","","2021","","bilanz","ktn_ju","CHF","fs"
"200","","2021","115851445.09","bilanz","ktn_ju","CHF","fs"
"201","","2021","120702419","bilanz","ktn_ju","CHF","fs"
"204","","2021","52832946.53","bilanz","ktn_ju","CHF","fs"
"205","","2021","12609683.65","bilanz","ktn_ju","CHF","fs"
"206","","2021","370815817.7","bilanz","ktn_ju","CHF","fs"
"207","","2021","","bilanz","ktn_ju","CHF","fs"
"208","","2021","42376031.58","bilanz","ktn_ju","CHF","fs"
"209","","2021","10405310.45","bilanz","ktn_ju","CHF","fs"
"290","","2021","16221418.59","bilanz","ktn_ju","CHF","fs"
"292","","2021","","bilanz","ktn_ju","CHF","fs"
"293","","2021","","bilanz","ktn_ju","CHF","fs"
"294","","2021","30500000","bilanz","ktn_ju","CHF","fs"
"295","","2021","","bilanz","ktn_ju","CHF","fs"
"296","","2021","","bilanz","ktn_ju","CHF","fs"
"298","","2021","","bilanz","ktn_ju","CHF","fs"
"299","","2021","23228152.87","bilanz","ktn_ju","CHF","fs"
"empty","","2021","","er","ktn_ju","CHF","fs"
"empty","","2021","","er","ktn_ju","CHF","fs"
"empty","","2021","","er","ktn_ju","CHF","fs"
"empty","","2021","","er","ktn_ju","CHF","fs"
"300","","2021","5347674.95","aufwand","ktn_ju","CHF","fs"
"301","","2021","112522196.65","aufwand","ktn_ju","CHF","fs"
"302","","2021","110494399.69","aufwand","ktn_ju","CHF","fs"
"303","","2021","493440.95","aufwand","ktn_ju","CHF","fs"
"304","","2021","591536.4","aufwand","ktn_ju","CHF","fs"
"305","","2021","44851926.56","aufwand","ktn_ju","CHF","fs"
"306","","2021","1865120.9","aufwand","ktn_ju","CHF","fs"
"309","","2021","985225.09","aufwand","ktn_ju","CHF","fs"
"310","","2021","5625813.67","aufwand","ktn_ju","CHF","fs"
"311","","2021","1383444.34","aufwand","ktn_ju","CHF","fs"
"312","","2021","3458763.7","aufwand","ktn_ju","CHF","fs"
"313","","2021","33172361.21","aufwand","ktn_ju","CHF","fs"
