"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","166706976.53","bilanz","ktn_ne","CHF","fs"
"101","","2017","453258557.34","bilanz","ktn_ne","CHF","fs"
"102","","2017","","bilanz","ktn_ne","CHF","fs"
"104","","2017","94932637.6","bilanz","ktn_ne","CHF","fs"
"106","","2017","4708932.42","bilanz","ktn_ne","CHF","fs"
"107","","2017","30228816.89","bilanz","ktn_ne","CHF","fs"
"108","","2017","39359920.36","bilanz","ktn_ne","CHF","fs"
"109","","2017","789359.57","bilanz","ktn_ne","CHF","fs"
"140","","2017","413896659.68","bilanz","ktn_ne","CHF","fs"
"141","","2017","","bilanz","ktn_ne","CHF","fs"
"142","","2017","","bilanz","ktn_ne","CHF","fs"
"143","","2017","","bilanz","ktn_ne","CHF","fs"
"144","","2017","106234110.95","bilanz","ktn_ne","CHF","fs"
"145","","2017","1e+08","bilanz","ktn_ne","CHF","fs"
"146","","2017","34066994.73","bilanz","ktn_ne","CHF","fs"
"147","","2017","","bilanz","ktn_ne","CHF","fs"
"148","","2017","","bilanz","ktn_ne","CHF","fs"
"200","","2017","145104355.05","bilanz","ktn_ne","CHF","fs"
"201","","2017","345001025.55","bilanz","ktn_ne","CHF","fs"
"204","","2017","219135237.83","bilanz","ktn_ne","CHF","fs"
"205","","2017","","bilanz","ktn_ne","CHF","fs"
"206","","2017","1199625519.5","bilanz","ktn_ne","CHF","fs"
"207","","2017","","bilanz","ktn_ne","CHF","fs"
"208","","2017","204645977.33","bilanz","ktn_ne","CHF","fs"
"209","","2017","156322.35","bilanz","ktn_ne","CHF","fs"
"290","","2017","","bilanz","ktn_ne","CHF","fs"
"292","","2017","","bilanz","ktn_ne","CHF","fs"
"293","","2017","70856246.03","bilanz","ktn_ne","CHF","fs"
"294","","2017","","bilanz","ktn_ne","CHF","fs"
"295","","2017","","bilanz","ktn_ne","CHF","fs"
"296","","2017","","bilanz","ktn_ne","CHF","fs"
"298","","2017","","bilanz","ktn_ne","CHF","fs"
"299","","2017","-740341717.57","bilanz","ktn_ne","CHF","fs"
"empty","","2017","","er","ktn_ne","CHF","fs"
"empty","","2017","","er","ktn_ne","CHF","fs"
"empty","","2017","","er","ktn_ne","CHF","fs"
"empty","","2017","","er","ktn_ne","CHF","fs"
"300","","2017","12828381","aufwand","ktn_ne","CHF","fs"
"301","","2017","243451674.51","aufwand","ktn_ne","CHF","fs"
"302","","2017","191243675.42","aufwand","ktn_ne","CHF","fs"
"303","","2017","2446376.28","aufwand","ktn_ne","CHF","fs"
"304","","2017","109637.45","aufwand","ktn_ne","CHF","fs"
"305","","2017","95288954.73","aufwand","ktn_ne","CHF","fs"
"306","","2017","2085864.3","aufwand","ktn_ne","CHF","fs"
"309","","2017","4165649.28","aufwand","ktn_ne","CHF","fs"
"310","","2017","23077867.84","aufwand","ktn_ne","CHF","fs"
"311","","2017","13904052.51","aufwand","ktn_ne","CHF","fs"
"312","","2017","7616200.92","aufwand","ktn_ne","CHF","fs"
"313","","2017","61962613.86","aufwand","ktn_ne","CHF","fs"
"314","","2017","18688740.59","aufwand","ktn_ne","CHF","fs"
"315","","2017","7389024.78","aufwand","ktn_ne","CHF","fs"
"316","","2017","27109187.73","aufwand","ktn_ne","CHF","fs"
"317","","2017","5864646.83","aufwand","ktn_ne","CHF","fs"
"318","","2017","22001855.32","aufwand","ktn_ne","CHF","fs"
"319","","2017","7382886.56","aufwand","ktn_ne","CHF","fs"
"320","","2017","","aufwand","ktn_ne","CHF","fs"
"331","","2017","","aufwand","ktn_ne","CHF","fs"
"337","","2017","52585668.31","aufwand","ktn_ne","CHF","fs"
"338","","2017","391418.18","aufwand","ktn_ne","CHF","fs"
"340","","2017","24648649.17","aufwand","ktn_ne","CHF","fs"
"341","","2017","58754.17","aufwand","ktn_ne","CHF","fs"
"342","","2017","528269.66","aufwand","ktn_ne","CHF","fs"
"343","","2017","","aufwand","ktn_ne","CHF","fs"
"344","","2017","96804","aufwand","ktn_ne","CHF","fs"
"349","","2017","0.2","aufwand","ktn_ne","CHF","fs"
"350","","2017","","aufwand","ktn_ne","CHF","fs"
"351","","2017","","aufwand","ktn_ne","CHF","fs"
"352","","2017","24954256.36","aufwand","ktn_ne","CHF","fs"
"3600","","2017","","aufwand","ktn_ne","CHF","fs"
"36010","","2017","","aufwand","ktn_ne","CHF","fs"
"36011","","2017","","aufwand","ktn_ne","CHF","fs"
"36012","","2017","","aufwand","ktn_ne","CHF","fs"
"36013","","2017","","aufwand","ktn_ne","CHF","fs"
"36014","","2017","","aufwand","ktn_ne","CHF","fs"
"36015","","2017","","aufwand","ktn_ne","CHF","fs"
"36016","","2017","","aufwand","ktn_ne","CHF","fs"
"36017","","2017","","aufwand","ktn_ne","CHF","fs"
"36018","","2017","","aufwand","ktn_ne","CHF","fs"
"36019","","2017","","aufwand","ktn_ne","CHF","fs"
"36021","","2017","","aufwand","ktn_ne","CHF","fs"
"36022","","2017","","aufwand","ktn_ne","CHF","fs"
"36023","","2017","","aufwand","ktn_ne","CHF","fs"
"36029","","2017","3071089.22","aufwand","ktn_ne","CHF","fs"
"3603","","2017","","aufwand","ktn_ne","CHF","fs"
"3604","","2017","","aufwand","ktn_ne","CHF","fs"
"3610","","2017","","aufwand","ktn_ne","CHF","fs"
"3611","","2017","18400161.06","aufwand","ktn_ne","CHF","fs"
"3612","","2017","7350754.03","aufwand","ktn_ne","CHF","fs"
"3613","","2017","","aufwand","ktn_ne","CHF","fs"
"3614","","2017","","aufwand","ktn_ne","CHF","fs"
"3620","","2017","","aufwand","ktn_ne","CHF","fs"
"36211","","2017","","aufwand","ktn_ne","CHF","fs"
"36212","","2017","","aufwand","ktn_ne","CHF","fs"
"36213","","2017","","aufwand","ktn_ne","CHF","fs"
"36214","","2017","2487623","aufwand","ktn_ne","CHF","fs"
"36215","","2017","","aufwand","ktn_ne","CHF","fs"
"36216","","2017","","aufwand","ktn_ne","CHF","fs"
"36217","","2017","","aufwand","ktn_ne","CHF","fs"
"36219","","2017","","aufwand","ktn_ne","CHF","fs"
"36221","","2017","","aufwand","ktn_ne","CHF","fs"
"36222","","2017","","aufwand","ktn_ne","CHF","fs"
"36223","","2017","","aufwand","ktn_ne","CHF","fs"
"36224","","2017","","aufwand","ktn_ne","CHF","fs"
"36225","","2017","","aufwand","ktn_ne","CHF","fs"
"36226","","2017","","aufwand","ktn_ne","CHF","fs"
"36227","","2017","","aufwand","ktn_ne","CHF","fs"
"36228","","2017","","aufwand","ktn_ne","CHF","fs"
"3624","","2017","","aufwand","ktn_ne","CHF","fs"
"3629","","2017","","aufwand","ktn_ne","CHF","fs"
"3630","","2017","2253000","aufwand","ktn_ne","CHF","fs"
"3631","","2017","71730187.29","aufwand","ktn_ne","CHF","fs"
"3632","","2017","95172396.57","aufwand","ktn_ne","CHF","fs"
"3633","","2017","6730117.6","aufwand","ktn_ne","CHF","fs"
"3634","","2017","374072105.99","aufwand","ktn_ne","CHF","fs"
"3635","","2017","111267035.89","aufwand","ktn_ne","CHF","fs"
"3636","","2017","236013146.24","aufwand","ktn_ne","CHF","fs"
"3637","","2017","400811611.44","aufwand","ktn_ne","CHF","fs"
"3638","","2017","268000","aufwand","ktn_ne","CHF","fs"
"3639","","2017","6361656.8","aufwand","ktn_ne","CHF","fs"
"364","","2017","","aufwand","ktn_ne","CHF","fs"
"365","","2017","","aufwand","ktn_ne","CHF","fs"
"366","","2017","","aufwand","ktn_ne","CHF","fs"
"369","","2017","","aufwand","ktn_ne","CHF","fs"
"380","","2017","10135395","aufwand","ktn_ne","CHF","fs"
"381","","2017","","aufwand","ktn_ne","CHF","fs"
"383","","2017","","aufwand","ktn_ne","CHF","fs"
"384","","2017","","aufwand","ktn_ne","CHF","fs"
"3860","","2017","","aufwand","ktn_ne","CHF","fs"
"3861","","2017","","aufwand","ktn_ne","CHF","fs"
"3862","","2017","","aufwand","ktn_ne","CHF","fs"
"3863","","2017","","aufwand","ktn_ne","CHF","fs"
"3864","","2017","","aufwand","ktn_ne","CHF","fs"
