"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","78408341.97","bilanz","ktn_nw","CHF","fs"
"101","","2021","137332893.08","bilanz","ktn_nw","CHF","fs"
"102","","2021","1.3e+07","bilanz","ktn_nw","CHF","fs"
"104","","2021","21594265.45","bilanz","ktn_nw","CHF","fs"
"106","","2021","16534.7","bilanz","ktn_nw","CHF","fs"
"107","","2021","68313810.6","bilanz","ktn_nw","CHF","fs"
"108","","2021","4393000","bilanz","ktn_nw","CHF","fs"
"109","","2021","","bilanz","ktn_nw","CHF","fs"
"140","","2021","108915388.2","bilanz","ktn_nw","CHF","fs"
"141","","2021","","bilanz","ktn_nw","CHF","fs"
"142","","2021","2003890.74","bilanz","ktn_nw","CHF","fs"
"143","","2021","","bilanz","ktn_nw","CHF","fs"
"144","","2021","21824680","bilanz","ktn_nw","CHF","fs"
"145","","2021","123013003","bilanz","ktn_nw","CHF","fs"
"146","","2021","76047021.33","bilanz","ktn_nw","CHF","fs"
"147","","2021","","bilanz","ktn_nw","CHF","fs"
"148","","2021","","bilanz","ktn_nw","CHF","fs"
"200","","2021","184667306.22","bilanz","ktn_nw","CHF","fs"
"201","","2021","15056282.14","bilanz","ktn_nw","CHF","fs"
"204","","2021","11043104.01","bilanz","ktn_nw","CHF","fs"
"205","","2021","720000","bilanz","ktn_nw","CHF","fs"
"206","","2021","128459233.17","bilanz","ktn_nw","CHF","fs"
"207","","2021","","bilanz","ktn_nw","CHF","fs"
"208","","2021","9410000","bilanz","ktn_nw","CHF","fs"
"209","","2021","773659.87","bilanz","ktn_nw","CHF","fs"
"290","","2021","7918433.06","bilanz","ktn_nw","CHF","fs"
"292","","2021","","bilanz","ktn_nw","CHF","fs"
"293","","2021","","bilanz","ktn_nw","CHF","fs"
"294","","2021","242615589.03","bilanz","ktn_nw","CHF","fs"
"295","","2021","","bilanz","ktn_nw","CHF","fs"
"296","","2021","","bilanz","ktn_nw","CHF","fs"
"298","","2021","","bilanz","ktn_nw","CHF","fs"
"299","","2021","54199221.57","bilanz","ktn_nw","CHF","fs"
"empty","","2021","","er","ktn_nw","CHF","fs"
"empty","","2021","","er","ktn_nw","CHF","fs"
