"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","15397710.4","bilanz","ktn_ow","CHF","fs"
"101","","2015","85232925.54","bilanz","ktn_ow","CHF","fs"
"102","","2015","6652000","bilanz","ktn_ow","CHF","fs"
"104","","2015","10497175.3","bilanz","ktn_ow","CHF","fs"
"106","","2015","163043.9","bilanz","ktn_ow","CHF","fs"
"107","","2015","56816603.7","bilanz","ktn_ow","CHF","fs"
"108","","2015","317782","bilanz","ktn_ow","CHF","fs"
"109","","2015","","bilanz","ktn_ow","CHF","fs"
"140","","2015","68373698.95","bilanz","ktn_ow","CHF","fs"
"141","","2015","","bilanz","ktn_ow","CHF","fs"
"142","","2015","884735.25","bilanz","ktn_ow","CHF","fs"
"143","","2015","","bilanz","ktn_ow","CHF","fs"
"144","","2015","6178249.35","bilanz","ktn_ow","CHF","fs"
"145","","2015","22165381.9","bilanz","ktn_ow","CHF","fs"
"146","","2015","30983871.99","bilanz","ktn_ow","CHF","fs"
"147","","2015","","bilanz","ktn_ow","CHF","fs"
"148","","2015","","bilanz","ktn_ow","CHF","fs"
"200","","2015","37785358.11","bilanz","ktn_ow","CHF","fs"
"201","","2015","8408949.75","bilanz","ktn_ow","CHF","fs"
"204","","2015","11579102.77","bilanz","ktn_ow","CHF","fs"
"205","","2015","2046344.6","bilanz","ktn_ow","CHF","fs"
"206","","2015","5e+06","bilanz","ktn_ow","CHF","fs"
"207","","2015","","bilanz","ktn_ow","CHF","fs"
"208","","2015","3643497.07","bilanz","ktn_ow","CHF","fs"
"209","","2015","42228923.95","bilanz","ktn_ow","CHF","fs"
"290","","2015","1268675.25","bilanz","ktn_ow","CHF","fs"
"292","","2015","","bilanz","ktn_ow","CHF","fs"
"293","","2015","","bilanz","ktn_ow","CHF","fs"
"294","","2015","5.2e+07","bilanz","ktn_ow","CHF","fs"
"295","","2015","-3971330.55","bilanz","ktn_ow","CHF","fs"
"296","","2015","116102","bilanz","ktn_ow","CHF","fs"
"298","","2015","","bilanz","ktn_ow","CHF","fs"
"299","","2015","143557555.33","bilanz","ktn_ow","CHF","fs"
"empty","","2015","","er","ktn_ow","CHF","fs"
"empty","","2015","","er","ktn_ow","CHF","fs"
"empty","","2015","","er","ktn_ow","CHF","fs"
"empty","","2015","","er","ktn_ow","CHF","fs"
"300","","2015","2139412","aufwand","ktn_ow","CHF","fs"
"301","","2015","34254831.74","aufwand","ktn_ow","CHF","fs"
"302","","2015","9716719.3","aufwand","ktn_ow","CHF","fs"
"303","","2015","","aufwand","ktn_ow","CHF","fs"
"304","","2015","1192379.05","aufwand","ktn_ow","CHF","fs"
"305","","2015","7433132.95","aufwand","ktn_ow","CHF","fs"
"306","","2015","192585.3","aufwand","ktn_ow","CHF","fs"
"309","","2015","706598.1","aufwand","ktn_ow","CHF","fs"
"310","","2015","2643892.19","aufwand","ktn_ow","CHF","fs"
"311","","2015","874942.24","aufwand","ktn_ow","CHF","fs"
"312","","2015","1455771.72","aufwand","ktn_ow","CHF","fs"
"313","","2015","17315568.44","aufwand","ktn_ow","CHF","fs"
"314","","2015","2197951.34","aufwand","ktn_ow","CHF","fs"
"315","","2015","869736.07","aufwand","ktn_ow","CHF","fs"
"316","","2015","2099995.34","aufwand","ktn_ow","CHF","fs"
"317","","2015","752035.1","aufwand","ktn_ow","CHF","fs"
"318","","2015","1717764.65","aufwand","ktn_ow","CHF","fs"
"319","","2015","966836.98","aufwand","ktn_ow","CHF","fs"
"320","","2015","","aufwand","ktn_ow","CHF","fs"
"331","","2015","","aufwand","ktn_ow","CHF","fs"
"337","","2015","8898852.12","aufwand","ktn_ow","CHF","fs"
"338","","2015","","aufwand","ktn_ow","CHF","fs"
"340","","2015","681017.53","aufwand","ktn_ow","CHF","fs"
"341","","2015","696.67","aufwand","ktn_ow","CHF","fs"
"342","","2015","","aufwand","ktn_ow","CHF","fs"
"343","","2015","","aufwand","ktn_ow","CHF","fs"
"344","","2015","","aufwand","ktn_ow","CHF","fs"
"349","","2015","300.35","aufwand","ktn_ow","CHF","fs"
"350","","2015","2481431.7","aufwand","ktn_ow","CHF","fs"
"351","","2015","","aufwand","ktn_ow","CHF","fs"
"352","","2015","","aufwand","ktn_ow","CHF","fs"
"3600","","2015","","aufwand","ktn_ow","CHF","fs"
"36010","","2015","","aufwand","ktn_ow","CHF","fs"
"36011","","2015","","aufwand","ktn_ow","CHF","fs"
"36012","","2015","","aufwand","ktn_ow","CHF","fs"
"36013","","2015","","aufwand","ktn_ow","CHF","fs"
"36014","","2015","","aufwand","ktn_ow","CHF","fs"
"36015","","2015","","aufwand","ktn_ow","CHF","fs"
