"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","65501706.01","bilanz","ktn_sh","CHF","fs"
"101","","2017","127028420.05","bilanz","ktn_sh","CHF","fs"
"102","","2017","6.8e+07","bilanz","ktn_sh","CHF","fs"
"104","","2017","106504540","bilanz","ktn_sh","CHF","fs"
"106","","2017","","bilanz","ktn_sh","CHF","fs"
"107","","2017","483654","bilanz","ktn_sh","CHF","fs"
"108","","2017","10257073","bilanz","ktn_sh","CHF","fs"
"109","","2017","","bilanz","ktn_sh","CHF","fs"
"140","","2017","68419329","bilanz","ktn_sh","CHF","fs"
"141","","2017","","bilanz","ktn_sh","CHF","fs"
"142","","2017","","bilanz","ktn_sh","CHF","fs"
"143","","2017","131839546","bilanz","ktn_sh","CHF","fs"
"144","","2017","","bilanz","ktn_sh","CHF","fs"
"145","","2017","","bilanz","ktn_sh","CHF","fs"
"146","","2017","54073123.79","bilanz","ktn_sh","CHF","fs"
"147","","2017","","bilanz","ktn_sh","CHF","fs"
"148","","2017","","bilanz","ktn_sh","CHF","fs"
"200","","2017","153478750","bilanz","ktn_sh","CHF","fs"
"201","","2017","41924.9","bilanz","ktn_sh","CHF","fs"
"204","","2017","32703932.18","bilanz","ktn_sh","CHF","fs"
"205","","2017","","bilanz","ktn_sh","CHF","fs"
"206","","2017","1.23e+08","bilanz","ktn_sh","CHF","fs"
"207","","2017","","bilanz","ktn_sh","CHF","fs"
"208","","2017","5251100","bilanz","ktn_sh","CHF","fs"
"209","","2017","47590906","bilanz","ktn_sh","CHF","fs"
"290","","2017","","bilanz","ktn_sh","CHF","fs"
"292","","2017","","bilanz","ktn_sh","CHF","fs"
"293","","2017","","bilanz","ktn_sh","CHF","fs"
"294","","2017","5e+07","bilanz","ktn_sh","CHF","fs"
"295","","2017","","bilanz","ktn_sh","CHF","fs"
"296","","2017","","bilanz","ktn_sh","CHF","fs"
"298","","2017","","bilanz","ktn_sh","CHF","fs"
"299","","2017","220040778.77","bilanz","ktn_sh","CHF","fs"
"empty","","2017","","er","ktn_sh","CHF","fs"
"empty","","2017","","er","ktn_sh","CHF","fs"
"empty","","2017","","er","ktn_sh","CHF","fs"
"empty","","2017","","er","ktn_sh","CHF","fs"
"300","","2017","5848244.27","aufwand","ktn_sh","CHF","fs"
"301","","2017","85249708.8","aufwand","ktn_sh","CHF","fs"
"302","","2017","53706189.44","aufwand","ktn_sh","CHF","fs"
"303","","2017","","aufwand","ktn_sh","CHF","fs"
"304","","2017","363920.5","aufwand","ktn_sh","CHF","fs"
"305","","2017","30413740.36","aufwand","ktn_sh","CHF","fs"
"306","","2017","881760.45","aufwand","ktn_sh","CHF","fs"
"309","","2017","1708361.71","aufwand","ktn_sh","CHF","fs"
"310","","2017","8389310.46","aufwand","ktn_sh","CHF","fs"
"311","","2017","4418337.48","aufwand","ktn_sh","CHF","fs"
"312","","2017","1747814.48","aufwand","ktn_sh","CHF","fs"
"313","","2017","26179358.04","aufwand","ktn_sh","CHF","fs"
"314","","2017","6709891.39","aufwand","ktn_sh","CHF","fs"
"315","","2017","11636658.19","aufwand","ktn_sh","CHF","fs"
"316","","2017","2197564.8","aufwand","ktn_sh","CHF","fs"
"317","","2017","777355.46","aufwand","ktn_sh","CHF","fs"
"318","","2017","4926658.17","aufwand","ktn_sh","CHF","fs"
"319","","2017","1986595.21","aufwand","ktn_sh","CHF","fs"
"320","","2017","","aufwand","ktn_sh","CHF","fs"
"331","","2017","","aufwand","ktn_sh","CHF","fs"
"337","","2017","16598742.83","aufwand","ktn_sh","CHF","fs"
"338","","2017","","aufwand","ktn_sh","CHF","fs"
"340","","2017","1517216.35","aufwand","ktn_sh","CHF","fs"
"341","","2017","-58835.69","aufwand","ktn_sh","CHF","fs"
"342","","2017","","aufwand","ktn_sh","CHF","fs"
"343","","2017","","aufwand","ktn_sh","CHF","fs"
"344","","2017","","aufwand","ktn_sh","CHF","fs"
"349","","2017","419948.49","aufwand","ktn_sh","CHF","fs"
"350","","2017","","aufwand","ktn_sh","CHF","fs"
"351","","2017","","aufwand","ktn_sh","CHF","fs"
"352","","2017","4687473","aufwand","ktn_sh","CHF","fs"
"3600","","2017","","aufwand","ktn_sh","CHF","fs"
"36010","","2017","","aufwand","ktn_sh","CHF","fs"
"36011","","2017","","aufwand","ktn_sh","CHF","fs"
"36012","","2017","","aufwand","ktn_sh","CHF","fs"
"36013","","2017","","aufwand","ktn_sh","CHF","fs"
