"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","144275945.64","bilanz","ktn_so","CHF","fs"
"101","","2019","577484251.63","bilanz","ktn_so","CHF","fs"
"102","","2019","","bilanz","ktn_so","CHF","fs"
"104","","2019","114577065.21","bilanz","ktn_so","CHF","fs"
"106","","2019","4279665.43","bilanz","ktn_so","CHF","fs"
"107","","2019","218107120","bilanz","ktn_so","CHF","fs"
"108","","2019","199318665.36","bilanz","ktn_so","CHF","fs"
"109","","2019","","bilanz","ktn_so","CHF","fs"
"140","","2019","1472120884.05","bilanz","ktn_so","CHF","fs"
"141","","2019","","bilanz","ktn_so","CHF","fs"
"142","","2019","","bilanz","ktn_so","CHF","fs"
"143","","2019","","bilanz","ktn_so","CHF","fs"
"144","","2019","114465514.15","bilanz","ktn_so","CHF","fs"
"145","","2019","177716559.45","bilanz","ktn_so","CHF","fs"
"146","","2019","","bilanz","ktn_so","CHF","fs"
"147","","2019","","bilanz","ktn_so","CHF","fs"
"148","","2019","","bilanz","ktn_so","CHF","fs"
"200","","2019","324180303.49","bilanz","ktn_so","CHF","fs"
"201","","2019","3.05e+08","bilanz","ktn_so","CHF","fs"
"204","","2019","111265506.9","bilanz","ktn_so","CHF","fs"
"205","","2019","","bilanz","ktn_so","CHF","fs"
"206","","2019","1838021929.79","bilanz","ktn_so","CHF","fs"
"207","","2019","","bilanz","ktn_so","CHF","fs"
"208","","2019","20562516.8","bilanz","ktn_so","CHF","fs"
"209","","2019","92751013.49","bilanz","ktn_so","CHF","fs"
"290","","2019","641072056.87","bilanz","ktn_so","CHF","fs"
"292","","2019","107649739.75","bilanz","ktn_so","CHF","fs"
"293","","2019","","bilanz","ktn_so","CHF","fs"
"294","","2019","","bilanz","ktn_so","CHF","fs"
"295","","2019","","bilanz","ktn_so","CHF","fs"
"296","","2019","","bilanz","ktn_so","CHF","fs"
"298","","2019","","bilanz","ktn_so","CHF","fs"
"299","","2019","-418157396.17","bilanz","ktn_so","CHF","fs"
"empty","","2019","","er","ktn_so","CHF","fs"
"empty","","2019","","er","ktn_so","CHF","fs"
"empty","","2019","","er","ktn_so","CHF","fs"
"empty","","2019","","er","ktn_so","CHF","fs"
"300","","2019","7529204.2","aufwand","ktn_so","CHF","fs"
