"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","126553891.4","bilanz","ktn_sz","CHF","fs"
"101","","2019","799867636.8","bilanz","ktn_sz","CHF","fs"
"102","","2019","","bilanz","ktn_sz","CHF","fs"
"104","","2019","4619081.92","bilanz","ktn_sz","CHF","fs"
"106","","2019","406200.96","bilanz","ktn_sz","CHF","fs"
"107","","2019","236000","bilanz","ktn_sz","CHF","fs"
"108","","2019","57904837","bilanz","ktn_sz","CHF","fs"
"109","","2019","11950649.9","bilanz","ktn_sz","CHF","fs"
"140","","2019","106324905.41","bilanz","ktn_sz","CHF","fs"
"141","","2019","","bilanz","ktn_sz","CHF","fs"
"142","","2019","","bilanz","ktn_sz","CHF","fs"
"143","","2019","","bilanz","ktn_sz","CHF","fs"
"144","","2019","92985041.45","bilanz","ktn_sz","CHF","fs"
"145","","2019","53261813","bilanz","ktn_sz","CHF","fs"
"146","","2019","","bilanz","ktn_sz","CHF","fs"
"147","","2019","","bilanz","ktn_sz","CHF","fs"
"148","","2019","","bilanz","ktn_sz","CHF","fs"
"200","","2019","186609814.8","bilanz","ktn_sz","CHF","fs"
"201","","2019","1.6e+07","bilanz","ktn_sz","CHF","fs"
"204","","2019","113873631.87","bilanz","ktn_sz","CHF","fs"
"205","","2019","5467900.2","bilanz","ktn_sz","CHF","fs"
"206","","2019","224098972.9","bilanz","ktn_sz","CHF","fs"
"207","","2019","","bilanz","ktn_sz","CHF","fs"
"208","","2019","65954264.7","bilanz","ktn_sz","CHF","fs"
"209","","2019","29261738.64","bilanz","ktn_sz","CHF","fs"
"290","","2019","200328649.74","bilanz","ktn_sz","CHF","fs"
"292","","2019","","bilanz","ktn_sz","CHF","fs"
"293","","2019","","bilanz","ktn_sz","CHF","fs"
"294","","2019","","bilanz","ktn_sz","CHF","fs"
"295","","2019","","bilanz","ktn_sz","CHF","fs"
"296","","2019","","bilanz","ktn_sz","CHF","fs"
"298","","2019","","bilanz","ktn_sz","CHF","fs"
"299","","2019","412515084.99","bilanz","ktn_sz","CHF","fs"
"empty","","2019","","er","ktn_sz","CHF","fs"
"empty","","2019","","er","ktn_sz","CHF","fs"
"empty","","2019","","er","ktn_sz","CHF","fs"
