"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","188759959.82","bilanz","ktn_tg","CHF","fs"
"101","","2015","360965732.16","bilanz","ktn_tg","CHF","fs"
"102","","2015","","bilanz","ktn_tg","CHF","fs"
"104","","2015","54570380.6","bilanz","ktn_tg","CHF","fs"
"106","","2015","3208845.63","bilanz","ktn_tg","CHF","fs"
"107","","2015","211442445.7","bilanz","ktn_tg","CHF","fs"
"108","","2015","56830132.35","bilanz","ktn_tg","CHF","fs"
"109","","2015","","bilanz","ktn_tg","CHF","fs"
"140","","2015","288199235.04","bilanz","ktn_tg","CHF","fs"
"141","","2015","","bilanz","ktn_tg","CHF","fs"
"142","","2015","","bilanz","ktn_tg","CHF","fs"
"143","","2015","","bilanz","ktn_tg","CHF","fs"
"144","","2015","187094106.93","bilanz","ktn_tg","CHF","fs"
"145","","2015","570672064","bilanz","ktn_tg","CHF","fs"
"146","","2015","6002396.3","bilanz","ktn_tg","CHF","fs"
"147","","2015","","bilanz","ktn_tg","CHF","fs"
"148","","2015","","bilanz","ktn_tg","CHF","fs"
"200","","2015","298279049.97","bilanz","ktn_tg","CHF","fs"
"201","","2015","1217349","bilanz","ktn_tg","CHF","fs"
"204","","2015","125821595.31","bilanz","ktn_tg","CHF","fs"
"205","","2015","22716237.52","bilanz","ktn_tg","CHF","fs"
"206","","2015","565400237.53","bilanz","ktn_tg","CHF","fs"
"207","","2015","","bilanz","ktn_tg","CHF","fs"
"208","","2015","43886772.1","bilanz","ktn_tg","CHF","fs"
"209","","2015","225898248.48","bilanz","ktn_tg","CHF","fs"
"290","","2015","","bilanz","ktn_tg","CHF","fs"
"292","","2015","14114982.85","bilanz","ktn_tg","CHF","fs"
"293","","2015","44636965.32","bilanz","ktn_tg","CHF","fs"
"294","","2015","364816995.08","bilanz","ktn_tg","CHF","fs"
"295","","2015","","bilanz","ktn_tg","CHF","fs"
"296","","2015","","bilanz","ktn_tg","CHF","fs"
"298","","2015","","bilanz","ktn_tg","CHF","fs"
"299","","2015","220956865.37","bilanz","ktn_tg","CHF","fs"
"empty","","2015","","er","ktn_tg","CHF","fs"
"empty","","2015","","er","ktn_tg","CHF","fs"
"empty","","2015","","er","ktn_tg","CHF","fs"
"empty","","2015","","er","ktn_tg","CHF","fs"
"300","","2015","14956919.1","aufwand","ktn_tg","CHF","fs"
"301","","2015","243112426.21","aufwand","ktn_tg","CHF","fs"
"302","","2015","85156996.03","aufwand","ktn_tg","CHF","fs"
"303","","2015","3389603.85","aufwand","ktn_tg","CHF","fs"
"304","","2015","14602.15","aufwand","ktn_tg","CHF","fs"
"305","","2015","63222712.87","aufwand","ktn_tg","CHF","fs"
"306","","2015","1154651.94","aufwand","ktn_tg","CHF","fs"
"309","","2015","5245611.06","aufwand","ktn_tg","CHF","fs"
"310","","2015","30104332.12","aufwand","ktn_tg","CHF","fs"
"311","","2015","10914565.8","aufwand","ktn_tg","CHF","fs"
"312","","2015","4555887.12","aufwand","ktn_tg","CHF","fs"
"313","","2015","68523882.26","aufwand","ktn_tg","CHF","fs"
"314","","2015","13569109.16","aufwand","ktn_tg","CHF","fs"
"315","","2015","17067008.59","aufwand","ktn_tg","CHF","fs"
"316","","2015","18902413.96","aufwand","ktn_tg","CHF","fs"
"317","","2015","5625317.11","aufwand","ktn_tg","CHF","fs"
"318","","2015","321233.26","aufwand","ktn_tg","CHF","fs"
"319","","2015","5721295.87","aufwand","ktn_tg","CHF","fs"
"320","","2015","","aufwand","ktn_tg","CHF","fs"
"331","","2015","","aufwand","ktn_tg","CHF","fs"
"337","","2015","36880007.86","aufwand","ktn_tg","CHF","fs"
"338","","2015","","aufwand","ktn_tg","CHF","fs"
"340","","2015","6620192.89","aufwand","ktn_tg","CHF","fs"
"341","","2015","","aufwand","ktn_tg","CHF","fs"
"342","","2015","1468103.24","aufwand","ktn_tg","CHF","fs"
"343","","2015","94581.22","aufwand","ktn_tg","CHF","fs"
"344","","2015","","aufwand","ktn_tg","CHF","fs"
"349","","2015","104956.2","aufwand","ktn_tg","CHF","fs"
"350","","2015","22761848.5","aufwand","ktn_tg","CHF","fs"
"351","","2015","","aufwand","ktn_tg","CHF","fs"
"352","","2015","","aufwand","ktn_tg","CHF","fs"
"3600","","2015","","aufwand","ktn_tg","CHF","fs"
"36010","","2015","","aufwand","ktn_tg","CHF","fs"
"36011","","2015","","aufwand","ktn_tg","CHF","fs"
"36012","","2015","","aufwand","ktn_tg","CHF","fs"
"36013","","2015","","aufwand","ktn_tg","CHF","fs"
