"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","76004546","bilanz","ktn_ti","CHF","fs"
"101","","2016","441640970","bilanz","ktn_ti","CHF","fs"
"102","","2016","321510000","bilanz","ktn_ti","CHF","fs"
"104","","2016","1486016058","bilanz","ktn_ti","CHF","fs"
"106","","2016","1418806","bilanz","ktn_ti","CHF","fs"
"107","","2016","164797000","bilanz","ktn_ti","CHF","fs"
"108","","2016","6473793","bilanz","ktn_ti","CHF","fs"
"109","","2016","430768891","bilanz","ktn_ti","CHF","fs"
"140","","2016","817528018","bilanz","ktn_ti","CHF","fs"
"141","","2016","","bilanz","ktn_ti","CHF","fs"
"142","","2016","1112000","bilanz","ktn_ti","CHF","fs"
"143","","2016","410929924","bilanz","ktn_ti","CHF","fs"
"144","","2016","","bilanz","ktn_ti","CHF","fs"
"145","","2016","","bilanz","ktn_ti","CHF","fs"
"146","","2016","240358000","bilanz","ktn_ti","CHF","fs"
"147","","2016","","bilanz","ktn_ti","CHF","fs"
"148","","2016","","bilanz","ktn_ti","CHF","fs"
"200","","2016","445773706","bilanz","ktn_ti","CHF","fs"
"201","","2016","641337237","bilanz","ktn_ti","CHF","fs"
"204","","2016","1012088803","bilanz","ktn_ti","CHF","fs"
"205","","2016","23679552","bilanz","ktn_ti","CHF","fs"
"206","","2016","2562540631","bilanz","ktn_ti","CHF","fs"
"207","","2016","","bilanz","ktn_ti","CHF","fs"
"208","","2016","67478095","bilanz","ktn_ti","CHF","fs"
"209","","2016","116309005","bilanz","ktn_ti","CHF","fs"
"290","","2016","","bilanz","ktn_ti","CHF","fs"
"292","","2016","8051125","bilanz","ktn_ti","CHF","fs"
"293","","2016","","bilanz","ktn_ti","CHF","fs"
"294","","2016","","bilanz","ktn_ti","CHF","fs"
"295","","2016","","bilanz","ktn_ti","CHF","fs"
"296","","2016","-301740","bilanz","ktn_ti","CHF","fs"
"298","","2016","1.1e+07","bilanz","ktn_ti","CHF","fs"
"299","","2016","-489398408","bilanz","ktn_ti","CHF","fs"
"empty","","2016","","er","ktn_ti","CHF","fs"
"empty","","2016","","er","ktn_ti","CHF","fs"
"empty","","2016","","er","ktn_ti","CHF","fs"
"empty","","2016","","er","ktn_ti","CHF","fs"
"300","","2016","21281521.14","aufwand","ktn_ti","CHF","fs"
"301","","2016","486496838.77","aufwand","ktn_ti","CHF","fs"
"302","","2016","412319651.38","aufwand","ktn_ti","CHF","fs"
"303","","2016","","aufwand","ktn_ti","CHF","fs"
"304","","2016","313563.47","aufwand","ktn_ti","CHF","fs"
"305","","2016","196877412.26","aufwand","ktn_ti","CHF","fs"
"306","","2016","9850447","aufwand","ktn_ti","CHF","fs"
"309","","2016","7606902.51","aufwand","ktn_ti","CHF","fs"
"310","","2016","33398880.05","aufwand","ktn_ti","CHF","fs"
"311","","2016","24256492.86","aufwand","ktn_ti","CHF","fs"
"312","","2016","16782499.72","aufwand","ktn_ti","CHF","fs"
"313","","2016","149568595.98","aufwand","ktn_ti","CHF","fs"
"314","","2016","49585490.67","aufwand","ktn_ti","CHF","fs"
"315","","2016","20861104.74","aufwand","ktn_ti","CHF","fs"
"316","","2016","19151419.2","aufwand","ktn_ti","CHF","fs"
"317","","2016","10773302.75","aufwand","ktn_ti","CHF","fs"
"318","","2016","25290129.02","aufwand","ktn_ti","CHF","fs"
"319","","2016","10989310.94","aufwand","ktn_ti","CHF","fs"
"320","","2016","","aufwand","ktn_ti","CHF","fs"
"331","","2016","","aufwand","ktn_ti","CHF","fs"
"337","","2016","94888564.42","aufwand","ktn_ti","CHF","fs"
"338","","2016","","aufwand","ktn_ti","CHF","fs"
"340","","2016","32567107.9","aufwand","ktn_ti","CHF","fs"
"341","","2016","2620.3","aufwand","ktn_ti","CHF","fs"
"342","","2016","456649.98","aufwand","ktn_ti","CHF","fs"
"343","","2016","558","aufwand","ktn_ti","CHF","fs"
"344","","2016","","aufwand","ktn_ti","CHF","fs"
"349","","2016","3670721.72","aufwand","ktn_ti","CHF","fs"
"350","","2016","27425524.12","aufwand","ktn_ti","CHF","fs"
"351","","2016","","aufwand","ktn_ti","CHF","fs"
"352","","2016","","aufwand","ktn_ti","CHF","fs"
"3600","","2016","","aufwand","ktn_ti","CHF","fs"
"36010","","2016","","aufwand","ktn_ti","CHF","fs"
"36011","","2016","","aufwand","ktn_ti","CHF","fs"
"36012","","2016","","aufwand","ktn_ti","CHF","fs"
"36013","","2016","","aufwand","ktn_ti","CHF","fs"
"36014","","2016","","aufwand","ktn_ti","CHF","fs"
"36015","","2016","","aufwand","ktn_ti","CHF","fs"
"36016","","2016","","aufwand","ktn_ti","CHF","fs"
"36017","","2016","","aufwand","ktn_ti","CHF","fs"
"36018","","2016","","aufwand","ktn_ti","CHF","fs"
"36019","","2016","","aufwand","ktn_ti","CHF","fs"
"36021","","2016","38495735.97","aufwand","ktn_ti","CHF","fs"
"36022","","2016","104394.4","aufwand","ktn_ti","CHF","fs"
"36023","","2016","58079.33","aufwand","ktn_ti","CHF","fs"
"36029","","2016","","aufwand","ktn_ti","CHF","fs"
"3603","","2016","","aufwand","ktn_ti","CHF","fs"
"3604","","2016","","aufwand","ktn_ti","CHF","fs"
"3610","","2016","","aufwand","ktn_ti","CHF","fs"
"3611","","2016","1540464.23","aufwand","ktn_ti","CHF","fs"
"3612","","2016","1070145","aufwand","ktn_ti","CHF","fs"
"3613","","2016","","aufwand","ktn_ti","CHF","fs"
"3614","","2016","","aufwand","ktn_ti","CHF","fs"
"3620","","2016","","aufwand","ktn_ti","CHF","fs"
"36211","","2016","","aufwand","ktn_ti","CHF","fs"
"36212","","2016","","aufwand","ktn_ti","CHF","fs"
"36213","","2016","","aufwand","ktn_ti","CHF","fs"
"36214","","2016","4837763","aufwand","ktn_ti","CHF","fs"
"36215","","2016","","aufwand","ktn_ti","CHF","fs"
"36216","","2016","","aufwand","ktn_ti","CHF","fs"
"36217","","2016","","aufwand","ktn_ti","CHF","fs"
"36219","","2016","","aufwand","ktn_ti","CHF","fs"
"36221","","2016","","aufwand","ktn_ti","CHF","fs"
"36222","","2016","","aufwand","ktn_ti","CHF","fs"
"36223","","2016","18160000","aufwand","ktn_ti","CHF","fs"
"36224","","2016","","aufwand","ktn_ti","CHF","fs"
"36225","","2016","","aufwand","ktn_ti","CHF","fs"
"36226","","2016","","aufwand","ktn_ti","CHF","fs"
"36227","","2016","","aufwand","ktn_ti","CHF","fs"
"36228","","2016","","aufwand","ktn_ti","CHF","fs"
"3624","","2016","","aufwand","ktn_ti","CHF","fs"
"3629","","2016","","aufwand","ktn_ti","CHF","fs"
"3630","","2016","","aufwand","ktn_ti","CHF","fs"
"3631","","2016","60373830.8","aufwand","ktn_ti","CHF","fs"
"3632","","2016","41974534.24","aufwand","ktn_ti","CHF","fs"
"3633","","2016","8500176.6","aufwand","ktn_ti","CHF","fs"
"3634","","2016","480972194.82","aufwand","ktn_ti","CHF","fs"
"3635","","2016","54504462.79","aufwand","ktn_ti","CHF","fs"
"3636","","2016","249190940.18","aufwand","ktn_ti","CHF","fs"
"3637","","2016","692484368.57","aufwand","ktn_ti","CHF","fs"
"3638","","2016","73468245","aufwand","ktn_ti","CHF","fs"
"3639","","2016","22488745.95","aufwand","ktn_ti","CHF","fs"
"364","","2016","245468","aufwand","ktn_ti","CHF","fs"
"365","","2016","515162.5","aufwand","ktn_ti","CHF","fs"
"366","","2016","79223560.35","aufwand","ktn_ti","CHF","fs"
"369","","2016","","aufwand","ktn_ti","CHF","fs"
"380","","2016","15295393","aufwand","ktn_ti","CHF","fs"
"381","","2016","","aufwand","ktn_ti","CHF","fs"
"383","","2016","","aufwand","ktn_ti","CHF","fs"
"384","","2016","","aufwand","ktn_ti","CHF","fs"
"3860","","2016","","aufwand","ktn_ti","CHF","fs"
"3861","","2016","","aufwand","ktn_ti","CHF","fs"
"3862","","2016","","aufwand","ktn_ti","CHF","fs"
"3863","","2016","","aufwand","ktn_ti","CHF","fs"
"3864","","2016","","aufwand","ktn_ti","CHF","fs"
"3865","","2016","","aufwand","ktn_ti","CHF","fs"
"3866","","2016","","aufwand","ktn_ti","CHF","fs"
"3867","","2016","","aufwand","ktn_ti","CHF","fs"
"3868","","2016","","aufwand","ktn_ti","CHF","fs"
"387","","2016","","aufwand","ktn_ti","CHF","fs"
"389","","2016","1290478","aufwand","ktn_ti","CHF","fs"
"4000","","2016","823377354.67","ertrag","ktn_ti","CHF","fs"
"4001","","2016","1.07e+08","ertrag","ktn_ti","CHF","fs"
"4002","","2016","203299259.02","ertrag","ktn_ti","CHF","fs"
"4008","","2016","","ertrag","ktn_ti","CHF","fs"
"4009","","2016","78234117.3","ertrag","ktn_ti","CHF","fs"
"4010","","2016","271023819.35","ertrag","ktn_ti","CHF","fs"
"4011","","2016","32700000","ertrag","ktn_ti","CHF","fs"
"4012","","2016","","ertrag","ktn_ti","CHF","fs"
"4019","","2016","","ertrag","ktn_ti","CHF","fs"
"4020","","2016","","ertrag","ktn_ti","CHF","fs"
"4021","","2016","35100000","ertrag","ktn_ti","CHF","fs"
"4022","","2016","106429713.3","ertrag","ktn_ti","CHF","fs"
"4023","","2016","94318613.39","ertrag","ktn_ti","CHF","fs"
"4024","","2016","40880880.5","ertrag","ktn_ti","CHF","fs"
