"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","23967605.21","bilanz","ktn_ur","CHF","fs"
"101","","2018","71241064.42","bilanz","ktn_ur","CHF","fs"
"102","","2018","8e+06","bilanz","ktn_ur","CHF","fs"
"104","","2018","18707795.02","bilanz","ktn_ur","CHF","fs"
"106","","2018","938305.44","bilanz","ktn_ur","CHF","fs"
"107","","2018","8026941.8","bilanz","ktn_ur","CHF","fs"
"108","","2018","21214355.25","bilanz","ktn_ur","CHF","fs"
"109","","2018","","bilanz","ktn_ur","CHF","fs"
"140","","2018","153880636.86","bilanz","ktn_ur","CHF","fs"
"141","","2018","","bilanz","ktn_ur","CHF","fs"
"142","","2018","1984096.59","bilanz","ktn_ur","CHF","fs"
"143","","2018","","bilanz","ktn_ur","CHF","fs"
"144","","2018","51694528.75","bilanz","ktn_ur","CHF","fs"
"145","","2018","50411289","bilanz","ktn_ur","CHF","fs"
"146","","2018","34598476.03","bilanz","ktn_ur","CHF","fs"
"147","","2018","","bilanz","ktn_ur","CHF","fs"
"148","","2018","","bilanz","ktn_ur","CHF","fs"
"200","","2018","62485407.95","bilanz","ktn_ur","CHF","fs"
"201","","2018","471653.45","bilanz","ktn_ur","CHF","fs"
"204","","2018","15256877.25","bilanz","ktn_ur","CHF","fs"
"205","","2018","4761041.4","bilanz","ktn_ur","CHF","fs"
"206","","2018","80002996.05","bilanz","ktn_ur","CHF","fs"
"207","","2018","","bilanz","ktn_ur","CHF","fs"
"208","","2018","16716966.6","bilanz","ktn_ur","CHF","fs"
"209","","2018","3373556.45","bilanz","ktn_ur","CHF","fs"
"290","","2018","26029026.13","bilanz","ktn_ur","CHF","fs"
"292","","2018","","bilanz","ktn_ur","CHF","fs"
"293","","2018","","bilanz","ktn_ur","CHF","fs"
"294","","2018","","bilanz","ktn_ur","CHF","fs"
"295","","2018","","bilanz","ktn_ur","CHF","fs"
"296","","2018","","bilanz","ktn_ur","CHF","fs"
"298","","2018","","bilanz","ktn_ur","CHF","fs"
"299","","2018","235567569.09","bilanz","ktn_ur","CHF","fs"
"empty","","2018","","er","ktn_ur","CHF","fs"
"empty","","2018","","er","ktn_ur","CHF","fs"
"empty","","2018","","er","ktn_ur","CHF","fs"
"empty","","2018","","er","ktn_ur","CHF","fs"
"300","","2018","2632968.1","aufwand","ktn_ur","CHF","fs"
"301","","2018","67573300.35","aufwand","ktn_ur","CHF","fs"
"302","","2018","11215137.7","aufwand","ktn_ur","CHF","fs"
"303","","2018","","aufwand","ktn_ur","CHF","fs"
"304","","2018","1491370","aufwand","ktn_ur","CHF","fs"
"305","","2018","16778976.65","aufwand","ktn_ur","CHF","fs"
"306","","2018","1388173.43","aufwand","ktn_ur","CHF","fs"
"309","","2018","1551286.39","aufwand","ktn_ur","CHF","fs"
"310","","2018","5702161.61","aufwand","ktn_ur","CHF","fs"
"311","","2018","3070025.01","aufwand","ktn_ur","CHF","fs"
"312","","2018","5254254.26","aufwand","ktn_ur","CHF","fs"
"313","","2018","25769200.17","aufwand","ktn_ur","CHF","fs"
"314","","2018","5271125.29","aufwand","ktn_ur","CHF","fs"
"315","","2018","5017110.18","aufwand","ktn_ur","CHF","fs"
"316","","2018","1054683.29","aufwand","ktn_ur","CHF","fs"
"317","","2018","1305545.03","aufwand","ktn_ur","CHF","fs"
"318","","2018","17406.21","aufwand","ktn_ur","CHF","fs"
"319","","2018","480379.31","aufwand","ktn_ur","CHF","fs"
"320","","2018","","aufwand","ktn_ur","CHF","fs"
"331","","2018","","aufwand","ktn_ur","CHF","fs"
"337","","2018","7559111.78","aufwand","ktn_ur","CHF","fs"
"338","","2018","","aufwand","ktn_ur","CHF","fs"
"340","","2018","386276.1","aufwand","ktn_ur","CHF","fs"
"341","","2018","875451.54","aufwand","ktn_ur","CHF","fs"
"342","","2018","35318.36","aufwand","ktn_ur","CHF","fs"
"343","","2018","111178.45","aufwand","ktn_ur","CHF","fs"
"344","","2018","203087.7","aufwand","ktn_ur","CHF","fs"
"349","","2018","67968.05","aufwand","ktn_ur","CHF","fs"
"350","","2018","251491.5","aufwand","ktn_ur","CHF","fs"
"351","","2018","3222191.08","aufwand","ktn_ur","CHF","fs"
"352","","2018","","aufwand","ktn_ur","CHF","fs"
"3600","","2018","","aufwand","ktn_ur","CHF","fs"
"36010","","2018","","aufwand","ktn_ur","CHF","fs"
"36011","","2018","","aufwand","ktn_ur","CHF","fs"
"36012","","2018","","aufwand","ktn_ur","CHF","fs"
"36013","","2018","","aufwand","ktn_ur","CHF","fs"
"36014","","2018","","aufwand","ktn_ur","CHF","fs"
"36015","","2018","","aufwand","ktn_ur","CHF","fs"
"36016","","2018","","aufwand","ktn_ur","CHF","fs"
"36017","","2018","","aufwand","ktn_ur","CHF","fs"
"36018","","2018","","aufwand","ktn_ur","CHF","fs"
"36019","","2018","","aufwand","ktn_ur","CHF","fs"
"36021","","2018","3889469.4","aufwand","ktn_ur","CHF","fs"
"36022","","2018","232285.45","aufwand","ktn_ur","CHF","fs"
"36023","","2018","","aufwand","ktn_ur","CHF","fs"
"36029","","2018","","aufwand","ktn_ur","CHF","fs"
"3603","","2018","","aufwand","ktn_ur","CHF","fs"
"3604","","2018","","aufwand","ktn_ur","CHF","fs"
"3610","","2018","","aufwand","ktn_ur","CHF","fs"
"3611","","2018","4875308.12","aufwand","ktn_ur","CHF","fs"
"3612","","2018","625378.75","aufwand","ktn_ur","CHF","fs"
"3613","","2018","","aufwand","ktn_ur","CHF","fs"
"3614","","2018","387520","aufwand","ktn_ur","CHF","fs"
"3620","","2018","","aufwand","ktn_ur","CHF","fs"
"36211","","2018","","aufwand","ktn_ur","CHF","fs"
"36212","","2018","","aufwand","ktn_ur","CHF","fs"
"36213","","2018","","aufwand","ktn_ur","CHF","fs"
"36214","","2018","475311","aufwand","ktn_ur","CHF","fs"
"36215","","2018","","aufwand","ktn_ur","CHF","fs"
"36216","","2018","","aufwand","ktn_ur","CHF","fs"
"36217","","2018","","aufwand","ktn_ur","CHF","fs"
"36219","","2018","","aufwand","ktn_ur","CHF","fs"
"36221","","2018","","aufwand","ktn_ur","CHF","fs"
"36222","","2018","","aufwand","ktn_ur","CHF","fs"
"36223","","2018","","aufwand","ktn_ur","CHF","fs"
"36224","","2018","","aufwand","ktn_ur","CHF","fs"
"36225","","2018","3952272","aufwand","ktn_ur","CHF","fs"
"36226","","2018","4415000","aufwand","ktn_ur","CHF","fs"
"36227","","2018","","aufwand","ktn_ur","CHF","fs"
"36228","","2018","","aufwand","ktn_ur","CHF","fs"
"3624","","2018","","aufwand","ktn_ur","CHF","fs"
"3629","","2018","","aufwand","ktn_ur","CHF","fs"
"3630","","2018","","aufwand","ktn_ur","CHF","fs"
"3631","","2018","12342281.6","aufwand","ktn_ur","CHF","fs"
"3632","","2018","22312512.9","aufwand","ktn_ur","CHF","fs"
"3633","","2018","508972.8","aufwand","ktn_ur","CHF","fs"
"3634","","2018","42271613.64","aufwand","ktn_ur","CHF","fs"
"3635","","2018","37170323.44","aufwand","ktn_ur","CHF","fs"
"3636","","2018","43801789.44","aufwand","ktn_ur","CHF","fs"
"3637","","2018","33192665.65","aufwand","ktn_ur","CHF","fs"
"3638","","2018","","aufwand","ktn_ur","CHF","fs"
"3639","","2018","1563711.65","aufwand","ktn_ur","CHF","fs"
"364","","2018","","aufwand","ktn_ur","CHF","fs"
"365","","2018","","aufwand","ktn_ur","CHF","fs"
"366","","2018","6640310.1","aufwand","ktn_ur","CHF","fs"
