"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2023","3702272606.82","bilanz","ktn_vd","CHF","fs"
"101","","2023","2819427190.1","bilanz","ktn_vd","CHF","fs"
"102","","2023","1.05e+09","bilanz","ktn_vd","CHF","fs"
"104","","2023","519759722.45","bilanz","ktn_vd","CHF","fs"
"106","","2023","15818876.29","bilanz","ktn_vd","CHF","fs"
"107","","2023","407299618.16","bilanz","ktn_vd","CHF","fs"
"108","","2023","59774081.67","bilanz","ktn_vd","CHF","fs"
"109","","2023","","bilanz","ktn_vd","CHF","fs"
"140","","2023","1781647446.68","bilanz","ktn_vd","CHF","fs"
"141","","2023","","bilanz","ktn_vd","CHF","fs"
"142","","2023","120292951.79","bilanz","ktn_vd","CHF","fs"
"143","","2023","","bilanz","ktn_vd","CHF","fs"
"144","","2023","265797334.32","bilanz","ktn_vd","CHF","fs"
"145","","2023","9011975","bilanz","ktn_vd","CHF","fs"
"146","","2023","430763192.83","bilanz","ktn_vd","CHF","fs"
"147","","2023","","bilanz","ktn_vd","CHF","fs"
"148","","2023","-227530594.82","bilanz","ktn_vd","CHF","fs"
"200","","2023","1731967130.28","bilanz","ktn_vd","CHF","fs"
"201","","2023","408916561.91","bilanz","ktn_vd","CHF","fs"
"204","","2023","3071301212.96","bilanz","ktn_vd","CHF","fs"
"205","","2023","58904583.24","bilanz","ktn_vd","CHF","fs"
"206","","2023","503230046.4","bilanz","ktn_vd","CHF","fs"
"207","","2023","","bilanz","ktn_vd","CHF","fs"
"208","","2023","","bilanz","ktn_vd","CHF","fs"
"209","","2023","102305242.08","bilanz","ktn_vd","CHF","fs"
"290","","2023","740951073.13","bilanz","ktn_vd","CHF","fs"
"292","","2023","","bilanz","ktn_vd","CHF","fs"
"293","","2023","1254472076.62","bilanz","ktn_vd","CHF","fs"
"294","","2023","5.51e+08","bilanz","ktn_vd","CHF","fs"
"295","","2023","","bilanz","ktn_vd","CHF","fs"
"296","","2023","","bilanz","ktn_vd","CHF","fs"
"298","","2023","","bilanz","ktn_vd","CHF","fs"
"299","","2023","2531286474.67","bilanz","ktn_vd","CHF","fs"
"empty","","2023","","er","ktn_vd","CHF","fs"
"empty","","2023","","er","ktn_vd","CHF","fs"
"empty","","2023","","er","ktn_vd","CHF","fs"
"empty","","2023","","er","ktn_vd","CHF","fs"
"300","","2023","16146491.9","aufwand","ktn_vd","CHF","fs"
"301","","2023","1064311923.53","aufwand","ktn_vd","CHF","fs"
"302","","2023","1675071129.4","aufwand","ktn_vd","CHF","fs"
"303","","2023","71960821.76","aufwand","ktn_vd","CHF","fs"
"304","","2023","23630200.96","aufwand","ktn_vd","CHF","fs"
"305","","2023","604201883.74","aufwand","ktn_vd","CHF","fs"
"306","","2023","5640957.45","aufwand","ktn_vd","CHF","fs"
"309","","2023","19290488.05","aufwand","ktn_vd","CHF","fs"
"310","","2023","89801206.65","aufwand","ktn_vd","CHF","fs"
"311","","2023","57074670.94","aufwand","ktn_vd","CHF","fs"
"312","","2023","38688023.98","aufwand","ktn_vd","CHF","fs"
"313","","2023","358971245.44","aufwand","ktn_vd","CHF","fs"
"314","","2023","92949206.82","aufwand","ktn_vd","CHF","fs"
"315","","2023","104875953.94","aufwand","ktn_vd","CHF","fs"
"316","","2023","83208715.15","aufwand","ktn_vd","CHF","fs"
"317","","2023","26866780.44","aufwand","ktn_vd","CHF","fs"
"318","","2023","150582858.02","aufwand","ktn_vd","CHF","fs"
"319","","2023","55323373.62","aufwand","ktn_vd","CHF","fs"
"320","","2023","","aufwand","ktn_vd","CHF","fs"
"331","","2023","","aufwand","ktn_vd","CHF","fs"
"337","","2023","217668212.31","aufwand","ktn_vd","CHF","fs"
"338","","2023","57107.53","aufwand","ktn_vd","CHF","fs"
"340","","2023","11502557.78","aufwand","ktn_vd","CHF","fs"
"341","","2023","272474.72","aufwand","ktn_vd","CHF","fs"
"342","","2023","106225.09","aufwand","ktn_vd","CHF","fs"
"343","","2023","","aufwand","ktn_vd","CHF","fs"
"344","","2023","96.9","aufwand","ktn_vd","CHF","fs"
"349","","2023","2201847.94","aufwand","ktn_vd","CHF","fs"
"350","","2023","7371324.21","aufwand","ktn_vd","CHF","fs"
"351","","2023","35851321.73","aufwand","ktn_vd","CHF","fs"
"352","","2023","","aufwand","ktn_vd","CHF","fs"
"3600","","2023","","aufwand","ktn_vd","CHF","fs"
"36010","","2023","","aufwand","ktn_vd","CHF","fs"
"36011","","2023","","aufwand","ktn_vd","CHF","fs"
"36012","","2023","","aufwand","ktn_vd","CHF","fs"
"36013","","2023","","aufwand","ktn_vd","CHF","fs"
"36014","","2023","","aufwand","ktn_vd","CHF","fs"
"36015","","2023","","aufwand","ktn_vd","CHF","fs"
"36016","","2023","","aufwand","ktn_vd","CHF","fs"
"36017","","2023","","aufwand","ktn_vd","CHF","fs"
"36018","","2023","","aufwand","ktn_vd","CHF","fs"
"36019","","2023","","aufwand","ktn_vd","CHF","fs"
"36021","","2023","182947666.9","aufwand","ktn_vd","CHF","fs"
"36022","","2023","","aufwand","ktn_vd","CHF","fs"
"36023","","2023","3257308.05","aufwand","ktn_vd","CHF","fs"
"36029","","2023","36462473.67","aufwand","ktn_vd","CHF","fs"
"3603","","2023","","aufwand","ktn_vd","CHF","fs"
"3604","","2023","","aufwand","ktn_vd","CHF","fs"
"3610","","2023","","aufwand","ktn_vd","CHF","fs"
"3611","","2023","22091921.4","aufwand","ktn_vd","CHF","fs"
"3612","","2023","147198442.31","aufwand","ktn_vd","CHF","fs"
"3613","","2023","","aufwand","ktn_vd","CHF","fs"
"3614","","2023","","aufwand","ktn_vd","CHF","fs"
"3620","","2023","","aufwand","ktn_vd","CHF","fs"
"36211","","2023","","aufwand","ktn_vd","CHF","fs"
"36212","","2023","","aufwand","ktn_vd","CHF","fs"
"36213","","2023","","aufwand","ktn_vd","CHF","fs"
"36214","","2023","6087575","aufwand","ktn_vd","CHF","fs"
"36215","","2023","","aufwand","ktn_vd","CHF","fs"
"36216","","2023","","aufwand","ktn_vd","CHF","fs"
"36217","","2023","","aufwand","ktn_vd","CHF","fs"
"36219","","2023","","aufwand","ktn_vd","CHF","fs"
"36221","","2023","","aufwand","ktn_vd","CHF","fs"
"36222","","2023","","aufwand","ktn_vd","CHF","fs"
"36223","","2023","","aufwand","ktn_vd","CHF","fs"
"36224","","2023","","aufwand","ktn_vd","CHF","fs"
"36225","","2023","","aufwand","ktn_vd","CHF","fs"
"36226","","2023","","aufwand","ktn_vd","CHF","fs"
"36227","","2023","","aufwand","ktn_vd","CHF","fs"
"36228","","2023","","aufwand","ktn_vd","CHF","fs"
"3624","","2023","","aufwand","ktn_vd","CHF","fs"
"3629","","2023","","aufwand","ktn_vd","CHF","fs"
"3630","","2023","","aufwand","ktn_vd","CHF","fs"
"3631","","2023","169430692.15","aufwand","ktn_vd","CHF","fs"
"3632","","2023","37045312.07","aufwand","ktn_vd","CHF","fs"
"3633","","2023","29146518.3","aufwand","ktn_vd","CHF","fs"
"3634","","2023","1624264910.69","aufwand","ktn_vd","CHF","fs"
"3635","","2023","590236166.66","aufwand","ktn_vd","CHF","fs"
"3636","","2023","1492561531.81","aufwand","ktn_vd","CHF","fs"
"3637","","2023","2320036846.07","aufwand","ktn_vd","CHF","fs"
