"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","254532635.99","bilanz","ktn_vs","CHF","fs"
"101","","2020","1235689594.83","bilanz","ktn_vs","CHF","fs"
"102","","2020","4.8e+07","bilanz","ktn_vs","CHF","fs"
"104","","2020","407788839.58","bilanz","ktn_vs","CHF","fs"
"106","","2020","9104387.74","bilanz","ktn_vs","CHF","fs"
"107","","2020","545027227.89","bilanz","ktn_vs","CHF","fs"
"108","","2020","12432400","bilanz","ktn_vs","CHF","fs"
"109","","2020","1354154.79","bilanz","ktn_vs","CHF","fs"
"140","","2020","569916600.23","bilanz","ktn_vs","CHF","fs"
"141","","2020","","bilanz","ktn_vs","CHF","fs"
"142","","2020","4190767.29","bilanz","ktn_vs","CHF","fs"
"143","","2020","","bilanz","ktn_vs","CHF","fs"
"144","","2020","226389383.85","bilanz","ktn_vs","CHF","fs"
"145","","2020","1036893720.2","bilanz","ktn_vs","CHF","fs"
"146","","2020","224358268.01","bilanz","ktn_vs","CHF","fs"
"147","","2020","","bilanz","ktn_vs","CHF","fs"
"148","","2020","","bilanz","ktn_vs","CHF","fs"
"200","","2020","557629987.76","bilanz","ktn_vs","CHF","fs"
"201","","2020","4e+08","bilanz","ktn_vs","CHF","fs"
"204","","2020","347964524.96","bilanz","ktn_vs","CHF","fs"
"205","","2020","64520754.15","bilanz","ktn_vs","CHF","fs"
"206","","2020","2116468979.82","bilanz","ktn_vs","CHF","fs"
"207","","2020","","bilanz","ktn_vs","CHF","fs"
"208","","2020","220006720.9","bilanz","ktn_vs","CHF","fs"
"209","","2020","89614329.77","bilanz","ktn_vs","CHF","fs"
"290","","2020","-13096530.65","bilanz","ktn_vs","CHF","fs"
"292","","2020","51256707.23","bilanz","ktn_vs","CHF","fs"
"293","","2020","390902996.8","bilanz","ktn_vs","CHF","fs"
"294","","2020","345787909.2","bilanz","ktn_vs","CHF","fs"
"295","","2020","","bilanz","ktn_vs","CHF","fs"
"296","","2020","","bilanz","ktn_vs","CHF","fs"
"298","","2020","","bilanz","ktn_vs","CHF","fs"
"299","","2020","4621600.46","bilanz","ktn_vs","CHF","fs"
"empty","","2020","","er","ktn_vs","CHF","fs"
"empty","","2020","","er","ktn_vs","CHF","fs"
"empty","","2020","","er","ktn_vs","CHF","fs"
"empty","","2020","","er","ktn_vs","CHF","fs"
"300","","2020","18317769.6","aufwand","ktn_vs","CHF","fs"
"301","","2020","404279948.16","aufwand","ktn_vs","CHF","fs"
