"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","394747636.68","bilanz","ktn_zg","CHF","fs"
"101","","2016","228929246.99","bilanz","ktn_zg","CHF","fs"
"102","","2016","7.1e+07","bilanz","ktn_zg","CHF","fs"
"104","","2016","48774742.41","bilanz","ktn_zg","CHF","fs"
"106","","2016","1193087.59","bilanz","ktn_zg","CHF","fs"
"107","","2016","195375769.37","bilanz","ktn_zg","CHF","fs"
"108","","2016","86835754.65","bilanz","ktn_zg","CHF","fs"
"109","","2016","","bilanz","ktn_zg","CHF","fs"
"140","","2016","292755814","bilanz","ktn_zg","CHF","fs"
"141","","2016","","bilanz","ktn_zg","CHF","fs"
"142","","2016","","bilanz","ktn_zg","CHF","fs"
"143","","2016","","bilanz","ktn_zg","CHF","fs"
"144","","2016","34533982.27","bilanz","ktn_zg","CHF","fs"
"145","","2016","72098013","bilanz","ktn_zg","CHF","fs"
"146","","2016","81219001","bilanz","ktn_zg","CHF","fs"
"147","","2016","","bilanz","ktn_zg","CHF","fs"
"148","","2016","","bilanz","ktn_zg","CHF","fs"
"200","","2016","556679092.21","bilanz","ktn_zg","CHF","fs"
"201","","2016","","bilanz","ktn_zg","CHF","fs"
"204","","2016","68189707.46","bilanz","ktn_zg","CHF","fs"
"205","","2016","9312755","bilanz","ktn_zg","CHF","fs"
"206","","2016","21504218.7","bilanz","ktn_zg","CHF","fs"
"207","","2016","","bilanz","ktn_zg","CHF","fs"
"208","","2016","1904000","bilanz","ktn_zg","CHF","fs"
"209","","2016","7968428.44","bilanz","ktn_zg","CHF","fs"
"290","","2016","255235403.92","bilanz","ktn_zg","CHF","fs"
"292","","2016","","bilanz","ktn_zg","CHF","fs"
"293","","2016","","bilanz","ktn_zg","CHF","fs"
"294","","2016","","bilanz","ktn_zg","CHF","fs"
"295","","2016","","bilanz","ktn_zg","CHF","fs"
"296","","2016","52488023.05","bilanz","ktn_zg","CHF","fs"
"298","","2016","20120841.66","bilanz","ktn_zg","CHF","fs"
"299","","2016","514060577.52","bilanz","ktn_zg","CHF","fs"
"empty","","2016","","er","ktn_zg","CHF","fs"
"empty","","2016","","er","ktn_zg","CHF","fs"
"empty","","2016","","er","ktn_zg","CHF","fs"
"empty","","2016","","er","ktn_zg","CHF","fs"
"300","","2016","8842444.35","aufwand","ktn_zg","CHF","fs"
"301","","2016","175144792.88","aufwand","ktn_zg","CHF","fs"
"302","","2016","77685532.43","aufwand","ktn_zg","CHF","fs"
"303","","2016","","aufwand","ktn_zg","CHF","fs"
"304","","2016","2840294.45","aufwand","ktn_zg","CHF","fs"
"305","","2016","55522822.9","aufwand","ktn_zg","CHF","fs"
"306","","2016","1548519.35","aufwand","ktn_zg","CHF","fs"
