"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","40577885806.47","bilanz","staat","CHF","fs"
"101","","2020","50113874961.89","bilanz","staat","CHF","fs"
"102","","2020","5785072633.94","bilanz","staat","CHF","fs"
"104","","2020","17125281476.2","bilanz","staat","CHF","fs"
"106","","2020","383436473.04","bilanz","staat","CHF","fs"
"107","","2020","50631435892.39","bilanz","staat","CHF","fs"
"108","","2020","33653486196.91","bilanz","staat","CHF","fs"
"109","","2020","532791634.6","bilanz","staat","CHF","fs"
"140","","2020","170966745863.96","bilanz","staat","CHF","fs"
"141","","2020","3991942192.68","bilanz","staat","CHF","fs"
"142","","2020","1442620594.5","bilanz","staat","CHF","fs"
"143","","2020","1373449404.28","bilanz","staat","CHF","fs"
"144","","2020","11857730138.17","bilanz","staat","CHF","fs"
"145","","2020","82009788453.19","bilanz","staat","CHF","fs"
"146","","2020","10526055482.19","bilanz","staat","CHF","fs"
"147","","2020","","bilanz","staat","CHF","fs"
"148","","2020","-8533040066.02","bilanz","staat","CHF","fs"
"200","","2020","47109322392.74","bilanz","staat","CHF","fs"
"201","","2020","30507563611.36","bilanz","staat","CHF","fs"
"204","","2020","28430595909.81","bilanz","staat","CHF","fs"
"205","","2020","5990526198.96","bilanz","staat","CHF","fs"
"206","","2020","152312331602.6","bilanz","staat","CHF","fs"
"207","","2020","","bilanz","staat","CHF","fs"
"208","","2020","39613299117.56","bilanz","staat","CHF","fs"
"209","","2020","13668749011.44","bilanz","staat","CHF","fs"
"290","","2020","67696555965.57","bilanz","staat","CHF","fs"
"292","","2020","7415123340.44","bilanz","staat","CHF","fs"
"293","","2020","7870237306.64","bilanz","staat","CHF","fs"
"294","","2020","1224295172.79","bilanz","staat","CHF","fs"
"295","","2020","9028384766.83","bilanz","staat","CHF","fs"
"296","","2020","3175436119.61","bilanz","staat","CHF","fs"
"298","","2020","1811896118.22","bilanz","staat","CHF","fs"
"299","","2020","56584240503.83","bilanz","staat","CHF","fs"
"empty","","2020","","er","staat","CHF","fs"
"empty","","2020","","er","staat","CHF","fs"
"empty","","2020","","er","staat","CHF","fs"
"empty","","2020","","er","staat","CHF","fs"
"300","","2020","881055294.9","aufwand","staat","CHF","fs"
"301","","2020","27689404630.13","aufwand","staat","CHF","fs"
"302","","2020","15806282639.15","aufwand","staat","CHF","fs"
"303","","2020","231675325.39","aufwand","staat","CHF","fs"
"304","","2020","333778321.64","aufwand","staat","CHF","fs"
"305","","2020","9264500919.43999","aufwand","staat","CHF","fs"
"306","","2020","156925807.97","aufwand","staat","CHF","fs"
"309","","2020","439758257.77","aufwand","staat","CHF","fs"
"310","","2020","3043048472","aufwand","staat","CHF","fs"
"311","","2020","1230187962.69","aufwand","staat","CHF","fs"
"312","","2020","1338568839.73","aufwand","staat","CHF","fs"
"313","","2020","9894882615.03","aufwand","staat","CHF","fs"
"314","","2020","3686023325.64","aufwand","staat","CHF","fs"
"315","","2020","1279765958.07","aufwand","staat","CHF","fs"
"316","","2020","1976985681.81","aufwand","staat","CHF","fs"
"317","","2020","427688026.7","aufwand","staat","CHF","fs"
"318","","2020","1237484320.48","aufwand","staat","CHF","fs"
"319","","2020","1998641615.68","aufwand","staat","CHF","fs"
"320","","2020","1063282463.7","aufwand","staat","CHF","fs"
"331","","2020","","aufwand","staat","CHF","fs"
"337","","2020","9937464615.07","aufwand","staat","CHF","fs"
"338","","2020","531217913.23","aufwand","staat","CHF","fs"
"340","","2020","2031757778.62","aufwand","staat","CHF","fs"
"341","","2020","136190326.45","aufwand","staat","CHF","fs"
"342","","2020","57561771.47","aufwand","staat","CHF","fs"
"343","","2020","358587226.01","aufwand","staat","CHF","fs"
"344","","2020","905915209.12","aufwand","staat","CHF","fs"
"349","","2020","106251955.73","aufwand","staat","CHF","fs"
"350","","2020","569448399","aufwand","staat","CHF","fs"
"351","","2020","1550633157.88","aufwand","staat","CHF","fs"
"352","","2020","547811659.68","aufwand","staat","CHF","fs"
"3600","","2020","","aufwand","staat","CHF","fs"
"36010","","2020","","aufwand","staat","CHF","fs"
"36011","","2020","","aufwand","staat","CHF","fs"
"36012","","2020","","aufwand","staat","CHF","fs"
"36013","","2020","","aufwand","staat","CHF","fs"
"36014","","2020","","aufwand","staat","CHF","fs"
"36015","","2020","","aufwand","staat","CHF","fs"
"36016","","2020","","aufwand","staat","CHF","fs"
"36017","","2020","","aufwand","staat","CHF","fs"
"36018","","2020","","aufwand","staat","CHF","fs"
"36019","","2020","","aufwand","staat","CHF","fs"
"36021","","2020","","aufwand","staat","CHF","fs"
"36022","","2020","","aufwand","staat","CHF","fs"
"36023","","2020","","aufwand","staat","CHF","fs"
"36029","","2020","","aufwand","staat","CHF","fs"
"3603","","2020","","aufwand","staat","CHF","fs"
"3604","","2020","883402.5","aufwand","staat","CHF","fs"
"3610","","2020","","aufwand","staat","CHF","fs"
"3611","","2020","","aufwand","staat","CHF","fs"
"3612","","2020","","aufwand","staat","CHF","fs"
"3613","","2020","","aufwand","staat","CHF","fs"
"3614","","2020","739154075.14","aufwand","staat","CHF","fs"
"3620","","2020","","aufwand","staat","CHF","fs"
"36211","","2020","","aufwand","staat","CHF","fs"
"36212","","2020","","aufwand","staat","CHF","fs"
"36213","","2020","","aufwand","staat","CHF","fs"
"36214","","2020","","aufwand","staat","CHF","fs"
"36215","","2020","","aufwand","staat","CHF","fs"
"36216","","2020","","aufwand","staat","CHF","fs"
"36217","","2020","","aufwand","staat","CHF","fs"
"36219","","2020","","aufwand","staat","CHF","fs"
"36221","","2020","","aufwand","staat","CHF","fs"
"36222","","2020","","aufwand","staat","CHF","fs"
"36223","","2020","","aufwand","staat","CHF","fs"
"36224","","2020","","aufwand","staat","CHF","fs"
"36225","","2020","","aufwand","staat","CHF","fs"
"36226","","2020","","aufwand","staat","CHF","fs"
"36227","","2020","","aufwand","staat","CHF","fs"
"36228","","2020","","aufwand","staat","CHF","fs"
"3624","","2020","","aufwand","staat","CHF","fs"
"3629","","2020","","aufwand","staat","CHF","fs"
"3630","","2020","","aufwand","staat","CHF","fs"
"3631","","2020","","aufwand","staat","CHF","fs"
"3632","","2020","","aufwand","staat","CHF","fs"
"3633","","2020","","aufwand","staat","CHF","fs"
"3634","","2020","14651152592.5","aufwand","staat","CHF","fs"
"3635","","2020","8383752956.35","aufwand","staat","CHF","fs"
"3636","","2020","11606907430.94","aufwand","staat","CHF","fs"
"3637","","2020","80954464095.99","aufwand","staat","CHF","fs"
"3638","","2020","4262969551.59","aufwand","staat","CHF","fs"
"3639","","2020","383712459.17","aufwand","staat","CHF","fs"
"364","","2020","128993360.82","aufwand","staat","CHF","fs"
"365","","2020","383045284.91","aufwand","staat","CHF","fs"
"366","","2020","7578694444.23","aufwand","staat","CHF","fs"
"369","","2020","883133054.02","aufwand","staat","CHF","fs"
"380","","2020","411033363.810002","aufwand","staat","CHF","fs"
"381","","2020","651572442.44","aufwand","staat","CHF","fs"
"383","","2020","159951521.07","aufwand","staat","CHF","fs"
"384","","2020","43399071.85","aufwand","staat","CHF","fs"
"3860","","2020","","aufwand","staat","CHF","fs"
"3861","","2020","","aufwand","staat","CHF","fs"
"3862","","2020","","aufwand","staat","CHF","fs"
"3863","","2020","","aufwand","staat","CHF","fs"
"3864","","2020","1642582774.41","aufwand","staat","CHF","fs"
"3865","","2020","5148091371.62","aufwand","staat","CHF","fs"
"3866","","2020","582326455.87","aufwand","staat","CHF","fs"
"3867","","2020","11277974335.63","aufwand","staat","CHF","fs"
"3868","","2020","132610000","aufwand","staat","CHF","fs"
"387","","2020","53807486.08","aufwand","staat","CHF","fs"
"389","","2020","1604913821.5","aufwand","staat","CHF","fs"
"4000","","2020","58981571493.46","ertrag","staat","CHF","fs"
"4001","","2020","8328554005.77","ertrag","staat","CHF","fs"
"4002","","2020","3627185371.37","ertrag","staat","CHF","fs"
"4008","","2020","128960172.76","ertrag","staat","CHF","fs"
"4009","","2020","332125163.28","ertrag","staat","CHF","fs"
"4010","","2020","21505428966.27","ertrag","staat","CHF","fs"
"4011","","2020","1684397189.75","ertrag","staat","CHF","fs"
"4012","","2020","","ertrag","staat","CHF","fs"
"4019","","2020","301972548.64","ertrag","staat","CHF","fs"
"4020","","2020","5215961969.7","ertrag","staat","CHF","fs"
"4021","","2020","1340676855.28","ertrag","staat","CHF","fs"
"4022","","2020","2774631364.25","ertrag","staat","CHF","fs"
"4023","","2020","1486321537.07","ertrag","staat","CHF","fs"
"4024","","2020","1271947095.45","ertrag","staat","CHF","fs"
"4025","","2020","281448098.83","ertrag","staat","CHF","fs"
"4030","","2020","2308451623.77","ertrag","staat","CHF","fs"
"4031","","2020","35561650.23","ertrag","staat","CHF","fs"
"4032","","2020","26660814.17","ertrag","staat","CHF","fs"
"4033","","2020","56685815.33","ertrag","staat","CHF","fs"
"4039","","2020","88668738.87","ertrag","staat","CHF","fs"
"4040","","2020","22100002950.27","ertrag","staat","CHF","fs"
"4041","","2020","2420514397.03","ertrag","staat","CHF","fs"
"4042","","2020","2504958107.59","ertrag","staat","CHF","fs"
"4043","","2020","1657980261.29","ertrag","staat","CHF","fs"
"4044","","2020","16548451.36","ertrag","staat","CHF","fs"
"4045","","2020","2104022499.85","ertrag","staat","CHF","fs"
"4046","","2020","110416234.11","ertrag","staat","CHF","fs"
"4047","","2020","266979813.4","ertrag","staat","CHF","fs"
"4049","","2020","1245025025.25","ertrag","staat","CHF","fs"
"4050","","2020","331133065.11","ertrag","staat","CHF","fs"
"4051","","2020","345566712.11","ertrag","staat","CHF","fs"
"4052","","2020","1534947233.65","ertrag","staat","CHF","fs"
"4053","","2020","","ertrag","staat","CHF","fs"
"4059","","2020","","ertrag","staat","CHF","fs"
"4060","","2020","1186807361.33","ertrag","staat","CHF","fs"
"4070","","2020","1479244868.35","ertrag","staat","CHF","fs"
"4071","","2020","2735857.8","ertrag","staat","CHF","fs"
"4072","","2020","49057474968.46","ertrag","staat","CHF","fs"
"4079","","2020","1380442370.1","ertrag","staat","CHF","fs"
"410","","2020","39936528.73","ertrag","staat","CHF","fs"
"411","","2020","4e+09","ertrag","staat","CHF","fs"
"412","","2020","1184325831.26","ertrag","staat","CHF","fs"
"413","","2020","525608171.51","ertrag","staat","CHF","fs"
"420","","2020","471771584.59","ertrag","staat","CHF","fs"
"421","","2020","2751597045.31","ertrag","staat","CHF","fs"
"422","","2020","318749582.8","ertrag","staat","CHF","fs"
"423","","2020","863567934.32","ertrag","staat","CHF","fs"
"424","","2020","5493660410.59","ertrag","staat","CHF","fs"
"425","","2020","1107867339.3","ertrag","staat","CHF","fs"
"426","","2020","4630801615.94","ertrag","staat","CHF","fs"
"427","","2020","921323625.94","ertrag","staat","CHF","fs"
"429","","2020","657986316.509999","ertrag","staat","CHF","fs"
"430","","2020","503423476.29","ertrag","staat","CHF","fs"
"431","","2020","245471212.47","ertrag","staat","CHF","fs"
"432","","2020","353762.67","ertrag","staat","CHF","fs"
"439","","2020","2196349496.45","ertrag","staat","CHF","fs"
"440","","2020","1147242081.78","ertrag","staat","CHF","fs"
"441","","2020","1757603031.96","ertrag","staat","CHF","fs"
"442","","2020","337250869.88","ertrag","staat","CHF","fs"
"443","","2020","1103271379.52","ertrag","staat","CHF","fs"
"444","","2020","1600725065.07","ertrag","staat","CHF","fs"
"445","","2020","102320429.24","ertrag","staat","CHF","fs"
"446","","2020","2256921789.91","ertrag","staat","CHF","fs"
"447","","2020","1463140692.46","ertrag","staat","CHF","fs"
"448","","2020","39844724.72","ertrag","staat","CHF","fs"
"449","","2020","28779862.81","ertrag","staat","CHF","fs"
"450","","2020","337081322.45","ertrag","staat","CHF","fs"
"451","","2020","1127539364.32","ertrag","staat","CHF","fs"
"452","","2020","506372018.46","ertrag","staat","CHF","fs"
"46000","","2020","","ertrag","staat","CHF","fs"
"46001","","2020","","ertrag","staat","CHF","fs"
"46002","","2020","","ertrag","staat","CHF","fs"
"46003","","2020","","ertrag","staat","CHF","fs"
"46004","","2020","","ertrag","staat","CHF","fs"
"46005","","2020","","ertrag","staat","CHF","fs"
"46006","","2020","","ertrag","staat","CHF","fs"
"46007","","2020","","ertrag","staat","CHF","fs"
"46008","","2020","","ertrag","staat","CHF","fs"
"46009","","2020","","ertrag","staat","CHF","fs"
"46010","","2020","","ertrag","staat","CHF","fs"
"46011","","2020","","ertrag","staat","CHF","fs"
"46012","","2020","","ertrag","staat","CHF","fs"
"46019","","2020","","ertrag","staat","CHF","fs"
"4603","","2020","","ertrag","staat","CHF","fs"
"4604","","2020","93023.74","ertrag","staat","CHF","fs"
"4610","","2020","","ertrag","staat","CHF","fs"
"4611","","2020","","ertrag","staat","CHF","fs"
"4612","","2020","","ertrag","staat","CHF","fs"
"4613","","2020","","ertrag","staat","CHF","fs"
"4614","","2020","12662435.01","ertrag","staat","CHF","fs"
"46201","","2020","","ertrag","staat","CHF","fs"
"46202","","2020","","ertrag","staat","CHF","fs"
"46203","","2020","","ertrag","staat","CHF","fs"
"46204","","2020","","ertrag","staat","CHF","fs"
"46209","","2020","","ertrag","staat","CHF","fs"
"46211","","2020","","ertrag","staat","CHF","fs"
"46212","","2020","","ertrag","staat","CHF","fs"
"46213","","2020","","ertrag","staat","CHF","fs"
"46214","","2020","","ertrag","staat","CHF","fs"
"46215","","2020","","ertrag","staat","CHF","fs"
"46216","","2020","","ertrag","staat","CHF","fs"
"46217","","2020","","ertrag","staat","CHF","fs"
"46225","","2020","","ertrag","staat","CHF","fs"
"46226","","2020","","ertrag","staat","CHF","fs"
"46227","","2020","","ertrag","staat","CHF","fs"
"46228","","2020","","ertrag","staat","CHF","fs"
"4624","","2020","","ertrag","staat","CHF","fs"
"4629","","2020","","ertrag","staat","CHF","fs"
"4630","","2020","","ertrag","staat","CHF","fs"
"4631","","2020","","ertrag","staat","CHF","fs"
"4632","","2020","","ertrag","staat","CHF","fs"
"4633","","2020","","ertrag","staat","CHF","fs"
"4634","","2020","137573106.49","ertrag","staat","CHF","fs"
"4635","","2020","112978624.33","ertrag","staat","CHF","fs"
"4636","","2020","30878048.69","ertrag","staat","CHF","fs"
"4637","","2020","","ertrag","staat","CHF","fs"
"4638","","2020","271161725.54","ertrag","staat","CHF","fs"
"466","","2020","133804145.51","ertrag","staat","CHF","fs"
"469","","2020","133450975.53","ertrag","staat","CHF","fs"
"481","","2020","87133848","ertrag","staat","CHF","fs"
"482","","2020","40985437.74","ertrag","staat","CHF","fs"
"483","","2020","101416632.52","ertrag","staat","CHF","fs"
"484","","2020","32918232.68","ertrag","staat","CHF","fs"
"485","","2020","","ertrag","staat","CHF","fs"
"4860","","2020","","ertrag","staat","CHF","fs"
"4861","","2020","","ertrag","staat","CHF","fs"
"4862","","2020","","ertrag","staat","CHF","fs"
"4863","","2020","","ertrag","staat","CHF","fs"
"4864","","2020","5319.6","ertrag","staat","CHF","fs"
"4865","","2020","2087701.5","ertrag","staat","CHF","fs"
"4866","","2020","5472829.17","ertrag","staat","CHF","fs"
"4867","","2020","","ertrag","staat","CHF","fs"
"4868","","2020","8568","ertrag","staat","CHF","fs"
"4870","","2020","95850.7","ertrag","staat","CHF","fs"
"489","","2020","829644891.55","ertrag","staat","CHF","fs"
"empty","","2020","","fir","staat","CHF","fs"
"empty","","2020","","fir","staat","CHF","fs"
"empty","","2020","","fir","staat","CHF","fs"
"empty","","2020","","fir","staat","CHF","fs"
"empty","","2020","","fir","staat","CHF","fs"
"300","","2020","881055294.9","ausgaben","staat","CHF","fs"
"301","","2020","27664317025.62","ausgaben","staat","CHF","fs"
"302","","2020","15806282639.15","ausgaben","staat","CHF","fs"
"303","","2020","231789722.64","ausgaben","staat","CHF","fs"
"304","","2020","333778321.64","ausgaben","staat","CHF","fs"
"305","","2020","9264647680.89999","ausgaben","staat","CHF","fs"
"306","","2020","166867566.06","ausgaben","staat","CHF","fs"
"309","","2020","439766025.97","ausgaben","staat","CHF","fs"
"310","","2020","2947138641.09","ausgaben","staat","CHF","fs"
"311","","2020","1231248664.27","ausgaben","staat","CHF","fs"
"312","","2020","1338564379.98","ausgaben","staat","CHF","fs"
"313","","2020","9894960075.33","ausgaben","staat","CHF","fs"
"314","","2020","3679249317.33","ausgaben","staat","CHF","fs"
"315","","2020","1280784978.01","ausgaben","staat","CHF","fs"
"316","","2020","1976549432.07","ausgaben","staat","CHF","fs"
"317","","2020","427848517.8","ausgaben","staat","CHF","fs"
"318","","2020","1195512573.57","ausgaben","staat","CHF","fs"
"319","","2020","1551654989.25","ausgaben","staat","CHF","fs"
"320","","2020","891353280.25","ausgaben","staat","CHF","fs"
"340","","2020","2044353369.09","ausgaben","staat","CHF","fs"
"341","","2020","83580560.33","ausgaben","staat","CHF","fs"
"342","","2020","57561771.47","ausgaben","staat","CHF","fs"
"343","","2020","358587226.01","ausgaben","staat","CHF","fs"
"349","","2020","106251955.73","ausgaben","staat","CHF","fs"
"3600","","2020","","ausgaben","staat","CHF","fs"
"36010","","2020","","ausgaben","staat","CHF","fs"
"36011","","2020","","ausgaben","staat","CHF","fs"
"36012","","2020","","ausgaben","staat","CHF","fs"
"36013","","2020","","ausgaben","staat","CHF","fs"
"36014","","2020","","ausgaben","staat","CHF","fs"
"36015","","2020","","ausgaben","staat","CHF","fs"
"36016","","2020","","ausgaben","staat","CHF","fs"
"36017","","2020","","ausgaben","staat","CHF","fs"
"36018","","2020","","ausgaben","staat","CHF","fs"
"36019","","2020","","ausgaben","staat","CHF","fs"
"36021","","2020","","ausgaben","staat","CHF","fs"
"36022","","2020","","ausgaben","staat","CHF","fs"
"36023","","2020","","ausgaben","staat","CHF","fs"
"36029","","2020","","ausgaben","staat","CHF","fs"
"3603","","2020","","ausgaben","staat","CHF","fs"
"3604","","2020","883402.5","ausgaben","staat","CHF","fs"
"3610","","2020","","ausgaben","staat","CHF","fs"
"3611","","2020","","ausgaben","staat","CHF","fs"
"3612","","2020","","ausgaben","staat","CHF","fs"
"3613","","2020","","ausgaben","staat","CHF","fs"
"3614","","2020","739154075.14","ausgaben","staat","CHF","fs"
"3620","","2020","","ausgaben","staat","CHF","fs"
"36211","","2020","","ausgaben","staat","CHF","fs"
"36212","","2020","","ausgaben","staat","CHF","fs"
"36213","","2020","","ausgaben","staat","CHF","fs"
"36214","","2020","","ausgaben","staat","CHF","fs"
"36215","","2020","","ausgaben","staat","CHF","fs"
"36216","","2020","","ausgaben","staat","CHF","fs"
"36217","","2020","","ausgaben","staat","CHF","fs"
"36219","","2020","","ausgaben","staat","CHF","fs"
"36221","","2020","","ausgaben","staat","CHF","fs"
"36222","","2020","","ausgaben","staat","CHF","fs"
"36223","","2020","","ausgaben","staat","CHF","fs"
"36224","","2020","","ausgaben","staat","CHF","fs"
"36225","","2020","","ausgaben","staat","CHF","fs"
"36226","","2020","","ausgaben","staat","CHF","fs"
"36227","","2020","","ausgaben","staat","CHF","fs"
"36228","","2020","","ausgaben","staat","CHF","fs"
"3624","","2020","","ausgaben","staat","CHF","fs"
"3629","","2020","","ausgaben","staat","CHF","fs"
"3630","","2020","","ausgaben","staat","CHF","fs"
"3631","","2020","","ausgaben","staat","CHF","fs"
"3632","","2020","","ausgaben","staat","CHF","fs"
"3633","","2020","","ausgaben","staat","CHF","fs"
"3634","","2020","14621968952.5","ausgaben","staat","CHF","fs"
"3635","","2020","8390566151.12","ausgaben","staat","CHF","fs"
"3636","","2020","11608607430.94","ausgaben","staat","CHF","fs"
"3637","","2020","80970571656.44","ausgaben","staat","CHF","fs"
"3638","","2020","4243551613.74","ausgaben","staat","CHF","fs"
"3639","","2020","383712459.17","ausgaben","staat","CHF","fs"
"369","","2020","883133054.02","ausgaben","staat","CHF","fs"
"380","","2020","5756024860.41","ausgaben","staat","CHF","fs"
"381","","2020","650462374.22","ausgaben","staat","CHF","fs"
