"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","2921137267.23","bilanz","sv_ahv","CHF","fs"
"101","","2021","3122001829.64","bilanz","sv_ahv","CHF","fs"
"102","","2021","465180325.46","bilanz","sv_ahv","CHF","fs"
"104","","2021","875950502.37","bilanz","sv_ahv","CHF","fs"
"106","","2021","","bilanz","sv_ahv","CHF","fs"
"107","","2021","32558735525.7","bilanz","sv_ahv","CHF","fs"
"108","","2021","153271058.69","bilanz","sv_ahv","CHF","fs"
"109","","2021","","bilanz","sv_ahv","CHF","fs"
"140","","2021","22805256.81","bilanz","sv_ahv","CHF","fs"
"141","","2021","","bilanz","sv_ahv","CHF","fs"
"142","","2021","","bilanz","sv_ahv","CHF","fs"
"143","","2021","","bilanz","sv_ahv","CHF","fs"
"144","","2021","10284204265.59","bilanz","sv_ahv","CHF","fs"
"145","","2021","","bilanz","sv_ahv","CHF","fs"
"146","","2021","","bilanz","sv_ahv","CHF","fs"
"147","","2021","839458828.35","bilanz","sv_ahv","CHF","fs"
"148","","2021","","bilanz","sv_ahv","CHF","fs"
"200","","2021","947517951.47","bilanz","sv_ahv","CHF","fs"
"201","","2021","328538311.26","bilanz","sv_ahv","CHF","fs"
"204","","2021","4934987.78","bilanz","sv_ahv","CHF","fs"
"205","","2021","100558391.74","bilanz","sv_ahv","CHF","fs"
"206","","2021","","bilanz","sv_ahv","CHF","fs"
"207","","2021","13153629.01","bilanz","sv_ahv","CHF","fs"
"208","","2021","","bilanz","sv_ahv","CHF","fs"
"209","","2021","107100000","bilanz","sv_ahv","CHF","fs"
"290","","2021","47158004836.51","bilanz","sv_ahv","CHF","fs"
"292","","2021","","bilanz","sv_ahv","CHF","fs"
"293","","2021","","bilanz","sv_ahv","CHF","fs"
"294","","2021","","bilanz","sv_ahv","CHF","fs"
"295","","2021","","bilanz","sv_ahv","CHF","fs"
"296","","2021","","bilanz","sv_ahv","CHF","fs"
"298","","2021","","bilanz","sv_ahv","CHF","fs"
"299","","2021","2582936752.08","bilanz","sv_ahv","CHF","fs"
"empty","","2021","","er","sv_ahv","CHF","fs"
"empty","","2021","","er","sv_ahv","CHF","fs"
"empty","","2021","","er","sv_ahv","CHF","fs"
"empty","","2021","","er","sv_ahv","CHF","fs"
"300","","2021","","aufwand","sv_ahv","CHF","fs"
"301","","2021","8246932.01","aufwand","sv_ahv","CHF","fs"
"302","","2021","","aufwand","sv_ahv","CHF","fs"
"303","","2021","","aufwand","sv_ahv","CHF","fs"
"304","","2021","","aufwand","sv_ahv","CHF","fs"
"305","","2021","1455340.94","aufwand","sv_ahv","CHF","fs"
"306","","2021","","aufwand","sv_ahv","CHF","fs"
"309","","2021","","aufwand","sv_ahv","CHF","fs"
"310","","2021","","aufwand","sv_ahv","CHF","fs"
"311","","2021","","aufwand","sv_ahv","CHF","fs"
"312","","2021","","aufwand","sv_ahv","CHF","fs"
"313","","2021","197723137.4","aufwand","sv_ahv","CHF","fs"
"314","","2021","428963.21","aufwand","sv_ahv","CHF","fs"
"315","","2021","","aufwand","sv_ahv","CHF","fs"
"316","","2021","","aufwand","sv_ahv","CHF","fs"
"317","","2021","","aufwand","sv_ahv","CHF","fs"
"318","","2021","123085549.77","aufwand","sv_ahv","CHF","fs"
"319","","2021","1105916.57","aufwand","sv_ahv","CHF","fs"
"320","","2021","","aufwand","sv_ahv","CHF","fs"
"331","","2021","","aufwand","sv_ahv","CHF","fs"
"337","","2021","1089068.6","aufwand","sv_ahv","CHF","fs"
"338","","2021","","aufwand","sv_ahv","CHF","fs"
"340","","2021","37449699.57","aufwand","sv_ahv","CHF","fs"
"341","","2021","","aufwand","sv_ahv","CHF","fs"
"342","","2021","","aufwand","sv_ahv","CHF","fs"
"343","","2021","345556.54","aufwand","sv_ahv","CHF","fs"
"344","","2021","","aufwand","sv_ahv","CHF","fs"
"349","","2021","3577.18","aufwand","sv_ahv","CHF","fs"
"350","","2021","","aufwand","sv_ahv","CHF","fs"
"351","","2021","","aufwand","sv_ahv","CHF","fs"
"352","","2021","","aufwand","sv_ahv","CHF","fs"
"3600","","2021","","aufwand","sv_ahv","CHF","fs"
"36010","","2021","","aufwand","sv_ahv","CHF","fs"
"36011","","2021","","aufwand","sv_ahv","CHF","fs"
"36012","","2021","","aufwand","sv_ahv","CHF","fs"
"36013","","2021","","aufwand","sv_ahv","CHF","fs"
"36014","","2021","","aufwand","sv_ahv","CHF","fs"
"36015","","2021","","aufwand","sv_ahv","CHF","fs"
"36016","","2021","","aufwand","sv_ahv","CHF","fs"
"36017","","2021","","aufwand","sv_ahv","CHF","fs"
"36018","","2021","","aufwand","sv_ahv","CHF","fs"
"36019","","2021","","aufwand","sv_ahv","CHF","fs"
"36021","","2021","","aufwand","sv_ahv","CHF","fs"
"36022","","2021","","aufwand","sv_ahv","CHF","fs"
"36023","","2021","","aufwand","sv_ahv","CHF","fs"
