"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2023","357836640.38","bilanz","sv_alv","CHF","fs"
"101","","2023","1577327213.3","bilanz","sv_alv","CHF","fs"
"102","","2023","4.15e+09","bilanz","sv_alv","CHF","fs"
"104","","2023","179891057.89","bilanz","sv_alv","CHF","fs"
"106","","2023","","bilanz","sv_alv","CHF","fs"
"107","","2023","","bilanz","sv_alv","CHF","fs"
"108","","2023","","bilanz","sv_alv","CHF","fs"
"109","","2023","112700000","bilanz","sv_alv","CHF","fs"
"140","","2023","10522448.41","bilanz","sv_alv","CHF","fs"
"141","","2023","","bilanz","sv_alv","CHF","fs"
"142","","2023","3403072.81","bilanz","sv_alv","CHF","fs"
"143","","2023","","bilanz","sv_alv","CHF","fs"
"144","","2023","","bilanz","sv_alv","CHF","fs"
"145","","2023","","bilanz","sv_alv","CHF","fs"
"146","","2023","","bilanz","sv_alv","CHF","fs"
"147","","2023","856258247.25","bilanz","sv_alv","CHF","fs"
"148","","2023","","bilanz","sv_alv","CHF","fs"
"200","","2023","257089830.05","bilanz","sv_alv","CHF","fs"
"201","","2023","","bilanz","sv_alv","CHF","fs"
"204","","2023","2028920.67","bilanz","sv_alv","CHF","fs"
"205","","2023","208050023.34","bilanz","sv_alv","CHF","fs"
"206","","2023","","bilanz","sv_alv","CHF","fs"
"207","","2023","","bilanz","sv_alv","CHF","fs"
"208","","2023","","bilanz","sv_alv","CHF","fs"
"209","","2023","","bilanz","sv_alv","CHF","fs"
"290","","2023","","bilanz","sv_alv","CHF","fs"
"292","","2023","","bilanz","sv_alv","CHF","fs"
"293","","2023","","bilanz","sv_alv","CHF","fs"
"294","","2023","","bilanz","sv_alv","CHF","fs"
"295","","2023","","bilanz","sv_alv","CHF","fs"
"296","","2023","","bilanz","sv_alv","CHF","fs"
"298","","2023","","bilanz","sv_alv","CHF","fs"
"299","","2023","6780769905.98","bilanz","sv_alv","CHF","fs"
"empty","","2023","","er","sv_alv","CHF","fs"
"empty","","2023","","er","sv_alv","CHF","fs"
"empty","","2023","","er","sv_alv","CHF","fs"
"empty","","2023","","er","sv_alv","CHF","fs"
"300","","2023","","aufwand","sv_alv","CHF","fs"
"301","","2023","166057334.01","aufwand","sv_alv","CHF","fs"
"302","","2023","","aufwand","sv_alv","CHF","fs"
"303","","2023","","aufwand","sv_alv","CHF","fs"
"304","","2023","","aufwand","sv_alv","CHF","fs"
"305","","2023","35607854.13","aufwand","sv_alv","CHF","fs"
"306","","2023","","aufwand","sv_alv","CHF","fs"
"309","","2023","183093.67","aufwand","sv_alv","CHF","fs"
"310","","2023","1683430.12","aufwand","sv_alv","CHF","fs"
"311","","2023","262839.89","aufwand","sv_alv","CHF","fs"
"312","","2023","2067671.2","aufwand","sv_alv","CHF","fs"
"313","","2023","237334821.09","aufwand","sv_alv","CHF","fs"
"314","","2023","-47923.1","aufwand","sv_alv","CHF","fs"
"315","","2023","67210229.81","aufwand","sv_alv","CHF","fs"
"316","","2023","11728413.29","aufwand","sv_alv","CHF","fs"
"317","","2023","1416513.22","aufwand","sv_alv","CHF","fs"
"318","","2023","17317811.32","aufwand","sv_alv","CHF","fs"
"319","","2023","","aufwand","sv_alv","CHF","fs"
"320","","2023","","aufwand","sv_alv","CHF","fs"
"331","","2023","","aufwand","sv_alv","CHF","fs"
"337","","2023","4549082.78","aufwand","sv_alv","CHF","fs"
"338","","2023","","aufwand","sv_alv","CHF","fs"
"340","","2023","40414.24","aufwand","sv_alv","CHF","fs"
"341","","2023","2773.33","aufwand","sv_alv","CHF","fs"
"342","","2023","","aufwand","sv_alv","CHF","fs"
"343","","2023","","aufwand","sv_alv","CHF","fs"
"344","","2023","","aufwand","sv_alv","CHF","fs"
"349","","2023","","aufwand","sv_alv","CHF","fs"
"350","","2023","","aufwand","sv_alv","CHF","fs"
"351","","2023","","aufwand","sv_alv","CHF","fs"
"352","","2023","","aufwand","sv_alv","CHF","fs"
"3600","","2023","","aufwand","sv_alv","CHF","fs"
"36010","","2023","","aufwand","sv_alv","CHF","fs"
"36011","","2023","","aufwand","sv_alv","CHF","fs"
"36012","","2023","","aufwand","sv_alv","CHF","fs"
"36013","","2023","","aufwand","sv_alv","CHF","fs"
