"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2023","7275775463.71","aufwand","bund","CHF","gfs"
"2121","","2023","1602456354.09","aufwand","bund","CHF","gfs"
"2122","","2023","72367507.67","aufwand","bund","CHF","gfs"
"22","","2023","7876644506.97","aufwand","bund","CHF","gfs"
"23","","2023","6405242499.1","aufwand","bund","CHF","gfs"
"24","","2023","1261850250.58","aufwand","bund","CHF","gfs"
"251","","2023","1815005073.69","aufwand","bund","CHF","gfs"
"252","","2023","3279639721.83","aufwand","bund","CHF","gfs"
"253","","2023","","aufwand","bund","CHF","gfs"
"2611","","2023","1725571626.66","aufwand","bund","CHF","gfs"
"2612","","2023","24799501.08","aufwand","bund","CHF","gfs"
"2621","","2023","2062090327.66","aufwand","bund","CHF","gfs"
"2622","","2023","","aufwand","bund","CHF","gfs"
"2631","","2023","41879802981.13","aufwand","bund","CHF","gfs"
"2632","","2023","1222550444.56","aufwand","bund","CHF","gfs"
"271","","2023","","aufwand","bund","CHF","gfs"
"272","","2023","176720893.45","aufwand","bund","CHF","gfs"
"273","","2023","72367507.67","aufwand","bund","CHF","gfs"
"281","","2023","","aufwand","bund","CHF","gfs"
"2821","","2023","1381754973.95","aufwand","bund","CHF","gfs"
"2822","","2023","5371978338.53","aufwand","bund","CHF","gfs"
"283","","2023","","aufwand","bund","CHF","gfs"
"1111","","2023","13545125761.03","ertrag","bund","CHF","gfs"
"1112","","2023","14306988998.5","ertrag","bund","CHF","gfs"
"1113","","2023","4544000033.71","ertrag","bund","CHF","gfs"
"112","","2023","","ertrag","bund","CHF","gfs"
"1131","","2023","","ertrag","bund","CHF","gfs"
"1132","","2023","","ertrag","bund","CHF","gfs"
"1133","","2023","","ertrag","bund","CHF","gfs"
"1135","","2023","","ertrag","bund","CHF","gfs"
"1136","","2023","","ertrag","bund","CHF","gfs"
"11411","","2023","24888431793.86","ertrag","bund","CHF","gfs"
"11412","","2023","383458588.56","ertrag","bund","CHF","gfs"
"11413","","2023","","ertrag","bund","CHF","gfs"
"11414","","2023","1382633837.88","ertrag","bund","CHF","gfs"
"1142","","2023","7995124607.09","ertrag","bund","CHF","gfs"
"1143","","2023","","ertrag","bund","CHF","gfs"
"1144","","2023","1162009087.11","ertrag","bund","CHF","gfs"
"11451","","2023","","ertrag","bund","CHF","gfs"
"11452","","2023","2522909440.39","ertrag","bund","CHF","gfs"
"1146","","2023","372572460.78","ertrag","bund","CHF","gfs"
"1151","","2023","1183570784.29","ertrag","bund","CHF","gfs"
"1152","","2023","","ertrag","bund","CHF","gfs"
"1153","","2023","","ertrag","bund","CHF","gfs"
"1154","","2023","","ertrag","bund","CHF","gfs"
"1155","","2023","","ertrag","bund","CHF","gfs"
"1156","","2023","","ertrag","bund","CHF","gfs"
"116","","2023","68624586","ertrag","bund","CHF","gfs"
"1211","","2023","","ertrag","bund","CHF","gfs"
"1212","","2023","","ertrag","bund","CHF","gfs"
"1213","","2023","","ertrag","bund","CHF","gfs"
"1214","","2023","","ertrag","bund","CHF","gfs"
"1221","","2023","","ertrag","bund","CHF","gfs"
"1222","","2023","","ertrag","bund","CHF","gfs"
"1223","","2023","72367507.67","ertrag","bund","CHF","gfs"
"1311","","2023","149567470.48","ertrag","bund","CHF","gfs"
"1312","","2023","","ertrag","bund","CHF","gfs"
"1321","","2023","","ertrag","bund","CHF","gfs"
"1322","","2023","","ertrag","bund","CHF","gfs"
"1331","","2023","26528096","ertrag","bund","CHF","gfs"
"1332","","2023","639728500","ertrag","bund","CHF","gfs"
"1411","","2023","622179103.37","ertrag","bund","CHF","gfs"
"1412","","2023","637463578.81","ertrag","bund","CHF","gfs"
"1413","","2023","","ertrag","bund","CHF","gfs"
"1414","","2023","","ertrag","bund","CHF","gfs"
"1415","","2023","91436523.5","ertrag","bund","CHF","gfs"
"1416","","2023","","ertrag","bund","CHF","gfs"
"1421","","2023","","ertrag","bund","CHF","gfs"
"1422","","2023","402165317.5","ertrag","bund","CHF","gfs"
"1423","","2023","3781446138.74","ertrag","bund","CHF","gfs"
"1424","","2023","2760279463.1","ertrag","bund","CHF","gfs"
"143","","2023","159794716.33","ertrag","bund","CHF","gfs"
"1441","","2023","594914426.66","ertrag","bund","CHF","gfs"
"1442","","2023","170059672.72","ertrag","bund","CHF","gfs"
"145","","2023","223517.47","ertrag","bund","CHF","gfs"
"","7011","2023","2371903567.48","ausgaben_funk","bund","CHF","gfs"
"","7012","2023","3295154591.16","ausgaben_funk","bund","CHF","gfs"
"","7013","2023","1729842768.52","ausgaben_funk","bund","CHF","gfs"
"","7014","2023","6012731905.9","ausgaben_funk","bund","CHF","gfs"
"","7015","2023","10917143.6","ausgaben_funk","bund","CHF","gfs"
"","7016","2023","","ausgaben_funk","bund","CHF","gfs"
"","7017","2023","1261850250.58","ausgaben_funk","bund","CHF","gfs"
"","7018","2023","10199082790.66","ausgaben_funk","bund","CHF","gfs"
"","7021","2023","6141236317.95","ausgaben_funk","bund","CHF","gfs"
"","7022","2023","154231733.27","ausgaben_funk","bund","CHF","gfs"
"","7023","2023","147147559.27","ausgaben_funk","bund","CHF","gfs"
"","7024","2023","28828322.64","ausgaben_funk","bund","CHF","gfs"
"","7025","2023","","ausgaben_funk","bund","CHF","gfs"
"","7031","2023","884524117.18","ausgaben_funk","bund","CHF","gfs"
"","7032","2023","","ausgaben_funk","bund","CHF","gfs"
"","7033","2023","257594969.02","ausgaben_funk","bund","CHF","gfs"
"","7034","2023","31483077.17","ausgaben_funk","bund","CHF","gfs"
"","7035","2023","","ausgaben_funk","bund","CHF","gfs"
"","7036","2023","210254728.52","ausgaben_funk","bund","CHF","gfs"
"","7041","2023","402308076.27","ausgaben_funk","bund","CHF","gfs"
"","7042","2023","3818779836.25","ausgaben_funk","bund","CHF","gfs"
"","7043","2023","1637321810.21","ausgaben_funk","bund","CHF","gfs"
"","7044","2023","","ausgaben_funk","bund","CHF","gfs"
"","7045","2023","10970686758.4","ausgaben_funk","bund","CHF","gfs"
"","7046","2023","51558210.9","ausgaben_funk","bund","CHF","gfs"
"","7047","2023","391266862.8","ausgaben_funk","bund","CHF","gfs"
"","7048","2023","964222229.71","ausgaben_funk","bund","CHF","gfs"
"","7049","2023","","ausgaben_funk","bund","CHF","gfs"
"","7051","2023","50370847","ausgaben_funk","bund","CHF","gfs"
"","7052","2023","68034647","ausgaben_funk","bund","CHF","gfs"
"","7053","2023","-41625822.91","ausgaben_funk","bund","CHF","gfs"
"","7054","2023","189853217.2","ausgaben_funk","bund","CHF","gfs"
"","7055","2023","225979349.02","ausgaben_funk","bund","CHF","gfs"
"","7056","2023","182618991.99","ausgaben_funk","bund","CHF","gfs"
"","7061","2023","","ausgaben_funk","bund","CHF","gfs"
"","7062","2023","19917481.96","ausgaben_funk","bund","CHF","gfs"
"","7063","2023","","ausgaben_funk","bund","CHF","gfs"
"","7064","2023","","ausgaben_funk","bund","CHF","gfs"
"","7065","2023","","ausgaben_funk","bund","CHF","gfs"
"","7066","2023","","ausgaben_funk","bund","CHF","gfs"
"","7071","2023","","ausgaben_funk","bund","CHF","gfs"
"","7072","2023","","ausgaben_funk","bund","CHF","gfs"
"","7073","2023","","ausgaben_funk","bund","CHF","gfs"
"","7074","2023","400017131.64","ausgaben_funk","bund","CHF","gfs"
"","7075","2023","99481370.4","ausgaben_funk","bund","CHF","gfs"
"","7076","2023","5e+05","ausgaben_funk","bund","CHF","gfs"
"","7081","2023","298725054.94","ausgaben_funk","bund","CHF","gfs"
"","7082","2023","317306787.99","ausgaben_funk","bund","CHF","gfs"
"","7083","2023","1464191046.65","ausgaben_funk","bund","CHF","gfs"
"","7084","2023","","ausgaben_funk","bund","CHF","gfs"
"","7085","2023","4792552.57","ausgaben_funk","bund","CHF","gfs"
"","7086","2023","","ausgaben_funk","bund","CHF","gfs"
"","7091","2023","","ausgaben_funk","bund","CHF","gfs"
"","7092","2023","757485115.05","ausgaben_funk","bund","CHF","gfs"
"","7093","2023","","ausgaben_funk","bund","CHF","gfs"
"","7094","2023","3078339859.06","ausgaben_funk","bund","CHF","gfs"
"","7095","2023","13640543.1","ausgaben_funk","bund","CHF","gfs"
"","7096","2023","","ausgaben_funk","bund","CHF","gfs"
"","7097","2023","369625807.14","ausgaben_funk","bund","CHF","gfs"
"","7098","2023","33702231.71","ausgaben_funk","bund","CHF","gfs"
"","7101","2023","8338648758.46","ausgaben_funk","bund","CHF","gfs"
"","7102","2023","14099133548.31","ausgaben_funk","bund","CHF","gfs"
"","7103","2023","633287800.3","ausgaben_funk","bund","CHF","gfs"
"","7104","2023","283500343.68","ausgaben_funk","bund","CHF","gfs"
"","7105","2023","610911430.01","ausgaben_funk","bund","CHF","gfs"
"","7106","2023","104666997.34","ausgaben_funk","bund","CHF","gfs"
"","7107","2023","3397433009.81","ausgaben_funk","bund","CHF","gfs"
"","7108","2023","5472064.47","ausgaben_funk","bund","CHF","gfs"
"","7109","2023","","ausgaben_funk","bund","CHF","gfs"
"","7011","2023","70910849897.61","einnahmen_funk","bund","CHF","gfs"
"","7012","2023","34122496.47","einnahmen_funk","bund","CHF","gfs"
"","7013","2023","150811260.3","einnahmen_funk","bund","CHF","gfs"
"","7014","2023","2801414613.44","einnahmen_funk","bund","CHF","gfs"
"","7015","2023","4979818.28","einnahmen_funk","bund","CHF","gfs"
"","7016","2023","","einnahmen_funk","bund","CHF","gfs"
"","7017","2023","622179103.37","einnahmen_funk","bund","CHF","gfs"
"","7018","2023","","einnahmen_funk","bund","CHF","gfs"
