"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2017","41755261828.41","aufwand","bund_ktn_gdn","CHF","gfs"
"2121","","2017","8396321487.95","aufwand","bund_ktn_gdn","CHF","gfs"
"2122","","2017","380952421.42","aufwand","bund_ktn_gdn","CHF","gfs"
"22","","2017","23624778131.32","aufwand","bund_ktn_gdn","CHF","gfs"
"23","","2017","18677907463.73","aufwand","bund_ktn_gdn","CHF","gfs"
"24","","2017","2693808067.04","aufwand","bund_ktn_gdn","CHF","gfs"
"251","","2017","13588606039.9","aufwand","bund_ktn_gdn","CHF","gfs"
"252","","2017","8136700462.43","aufwand","bund_ktn_gdn","CHF","gfs"
"253","","2017","","aufwand","bund_ktn_gdn","CHF","gfs"
"2611","","2017","2496610816.56","aufwand","bund_ktn_gdn","CHF","gfs"
"2612","","2017","1627565.31","aufwand","bund_ktn_gdn","CHF","gfs"
"2621","","2017","1565661218.57","aufwand","bund_ktn_gdn","CHF","gfs"
"2622","","2017","","aufwand","bund_ktn_gdn","CHF","gfs"
"2631","","2017","16653724860.29","aufwand","bund_ktn_gdn","CHF","gfs"
"2632","","2017","","aufwand","bund_ktn_gdn","CHF","gfs"
"271","","2017","","aufwand","bund_ktn_gdn","CHF","gfs"
"272","","2017","17085178850.81","aufwand","bund_ktn_gdn","CHF","gfs"
"273","","2017","380993621.42","aufwand","bund_ktn_gdn","CHF","gfs"
"281","","2017","","aufwand","bund_ktn_gdn","CHF","gfs"
"2821","","2017","11864701230.13","aufwand","bund_ktn_gdn","CHF","gfs"
"2822","","2017","6570979065.67","aufwand","bund_ktn_gdn","CHF","gfs"
"283","","2017","439034119.93","aufwand","bund_ktn_gdn","CHF","gfs"
"1111","","2017","57361874433.28","ertrag","bund_ktn_gdn","CHF","gfs"
"1112","","2017","20410384627.92","ertrag","bund_ktn_gdn","CHF","gfs"
"1113","","2017","12096482917.5","ertrag","bund_ktn_gdn","CHF","gfs"
"112","","2017","","ertrag","bund_ktn_gdn","CHF","gfs"
"1131","","2017","1177890765.06","ertrag","bund_ktn_gdn","CHF","gfs"
"1132","","2017","9041744778.68","ertrag","bund_ktn_gdn","CHF","gfs"
"1133","","2017","1148158206.3","ertrag","bund_ktn_gdn","CHF","gfs"
"1135","","2017","","ertrag","bund_ktn_gdn","CHF","gfs"
"1136","","2017","994105782.5","ertrag","bund_ktn_gdn","CHF","gfs"
