"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2017","12193004288.88","aufwand","gdn","CHF","gfs"
"2121","","2017","2387322585.63","aufwand","gdn","CHF","gfs"
"2122","","2017","119846074.31","aufwand","gdn","CHF","gfs"
"22","","2017","13039169046.14","aufwand","gdn","CHF","gfs"
"23","","2017","5369030568.56","aufwand","gdn","CHF","gfs"
"24","","2017","557185251.38","aufwand","gdn","CHF","gfs"
"251","","2017","1065537173.18","aufwand","gdn","CHF","gfs"
"252","","2017","312802512.33","aufwand","gdn","CHF","gfs"
"253","","2017","","aufwand","gdn","CHF","gfs"
"2611","","2017","92874997.59","aufwand","gdn","CHF","gfs"
"2612","","2017","7585.05","aufwand","gdn","CHF","gfs"
"2621","","2017","","aufwand","gdn","CHF","gfs"
"2622","","2017","","aufwand","gdn","CHF","gfs"
"2631","","2017","3104348252.19","aufwand","gdn","CHF","gfs"
"2632","","2017","183502157.01","aufwand","gdn","CHF","gfs"
"271","","2017","","aufwand","gdn","CHF","gfs"
"272","","2017","4468011673.96","aufwand","gdn","CHF","gfs"
"273","","2017","119846074.31","aufwand","gdn","CHF","gfs"
"281","","2017","","aufwand","gdn","CHF","gfs"
"2821","","2017","2653230383.26","aufwand","gdn","CHF","gfs"
"2822","","2017","1121429407.7","aufwand","gdn","CHF","gfs"
"283","","2017","146344706.64","aufwand","gdn","CHF","gfs"
"1111","","2017","19075846932.89","ertrag","gdn","CHF","gfs"
"1112","","2017","3482293784.78","ertrag","gdn","CHF","gfs"
"1113","","2017","1187315629.12","ertrag","gdn","CHF","gfs"
"112","","2017","","ertrag","gdn","CHF","gfs"
"1131","","2017","835671147.38","ertrag","gdn","CHF","gfs"
"1132","","2017","3443074504.26","ertrag","gdn","CHF","gfs"
"1133","","2017","117945762.64","ertrag","gdn","CHF","gfs"
"1135","","2017","","ertrag","gdn","CHF","gfs"
"1136","","2017","229551561.53","ertrag","gdn","CHF","gfs"
"11411","","2017","","ertrag","gdn","CHF","gfs"
"11412","","2017","","ertrag","gdn","CHF","gfs"
"11413","","2017","","ertrag","gdn","CHF","gfs"
"11414","","2017","57387890.38","ertrag","gdn","CHF","gfs"
"1142","","2017","","ertrag","gdn","CHF","gfs"
"1143","","2017","","ertrag","gdn","CHF","gfs"
"1144","","2017","15205919.5","ertrag","gdn","CHF","gfs"
"11451","","2017","","ertrag","gdn","CHF","gfs"
"11452","","2017","48715718.97","ertrag","gdn","CHF","gfs"
"1146","","2017","","ertrag","gdn","CHF","gfs"
"1151","","2017","","ertrag","gdn","CHF","gfs"
"1152","","2017","","ertrag","gdn","CHF","gfs"
"1153","","2017","","ertrag","gdn","CHF","gfs"
"1154","","2017","","ertrag","gdn","CHF","gfs"
"1155","","2017","","ertrag","gdn","CHF","gfs"
"1156","","2017","","ertrag","gdn","CHF","gfs"
"116","","2017","664154474.35","ertrag","gdn","CHF","gfs"
"1211","","2017","","ertrag","gdn","CHF","gfs"
"1212","","2017","","ertrag","gdn","CHF","gfs"
"1213","","2017","","ertrag","gdn","CHF","gfs"
"1214","","2017","","ertrag","gdn","CHF","gfs"
"1221","","2017","","ertrag","gdn","CHF","gfs"
"1222","","2017","","ertrag","gdn","CHF","gfs"
"1223","","2017","119846074.31","ertrag","gdn","CHF","gfs"
"1311","","2017","9321.55","ertrag","gdn","CHF","gfs"
"1312","","2017","","ertrag","gdn","CHF","gfs"
"1321","","2017","","ertrag","gdn","CHF","gfs"
"1322","","2017","","ertrag","gdn","CHF","gfs"
"1331","","2017","4597786771.21","ertrag","gdn","CHF","gfs"
"1332","","2017","400076652.66","ertrag","gdn","CHF","gfs"
"1411","","2017","487876851","ertrag","gdn","CHF","gfs"
"1412","","2017","587153146.03","ertrag","gdn","CHF","gfs"
"1413","","2017","1086218.36","ertrag","gdn","CHF","gfs"
"1414","","2017","24974746.46","ertrag","gdn","CHF","gfs"
"1415","","2017","302477327.27","ertrag","gdn","CHF","gfs"
"1416","","2017","","ertrag","gdn","CHF","gfs"
"1421","","2017","","ertrag","gdn","CHF","gfs"
"1422","","2017","614079241.04","ertrag","gdn","CHF","gfs"
"1423","","2017","7608426793.65","ertrag","gdn","CHF","gfs"
"1424","","2017","","ertrag","gdn","CHF","gfs"
"143","","2017","246239273.05","ertrag","gdn","CHF","gfs"
"1441","","2017","2975382382.41","ertrag","gdn","CHF","gfs"
"1442","","2017","776365709.83","ertrag","gdn","CHF","gfs"
"145","","2017","59245815.26","ertrag","gdn","CHF","gfs"
"","7011","2017","1871788967.05","ausgaben_funk","gdn","CHF","gfs"
"","7012","2017","","ausgaben_funk","gdn","CHF","gfs"
"","7013","2017","4729058630.51","ausgaben_funk","gdn","CHF","gfs"
"","7014","2017","","ausgaben_funk","gdn","CHF","gfs"
"","7015","2017","","ausgaben_funk","gdn","CHF","gfs"
"","7016","2017","","ausgaben_funk","gdn","CHF","gfs"
"","7017","2017","557185251.38","ausgaben_funk","gdn","CHF","gfs"
"","7018","2017","388923700.89","ausgaben_funk","gdn","CHF","gfs"
"","7021","2017","32380344.17","ausgaben_funk","gdn","CHF","gfs"
"","7022","2017","183724194.88","ausgaben_funk","gdn","CHF","gfs"
"","7023","2017","","ausgaben_funk","gdn","CHF","gfs"
"","7024","2017","","ausgaben_funk","gdn","CHF","gfs"
"","7025","2017","","ausgaben_funk","gdn","CHF","gfs"
"","7031","2017","1069945523.5","ausgaben_funk","gdn","CHF","gfs"
"","7032","2017","695860442.43","ausgaben_funk","gdn","CHF","gfs"
"","7033","2017","47649319.93","ausgaben_funk","gdn","CHF","gfs"
