"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2015","22621129963.12","aufwand","ktn","CHF","gfs"
"2121","","2015","4415742729.02","aufwand","ktn","CHF","gfs"
"2122","","2015","171239347.86","aufwand","ktn","CHF","gfs"
"22","","2015","9939350492.49","aufwand","ktn","CHF","gfs"
"23","","2015","8057388717.56001","aufwand","ktn","CHF","gfs"
"24","","2015","848214567.93","aufwand","ktn","CHF","gfs"
"251","","2015","10863511616.97","aufwand","ktn","CHF","gfs"
"252","","2015","4611900793.37","aufwand","ktn","CHF","gfs"
"253","","2015","","aufwand","ktn","CHF","gfs"
"2611","","2015","309959603.25","aufwand","ktn","CHF","gfs"
"2612","","2015","","aufwand","ktn","CHF","gfs"
"2621","","2015","","aufwand","ktn","CHF","gfs"
"2622","","2015","","aufwand","ktn","CHF","gfs"
"2631","","2015","4714138115.52","aufwand","ktn","CHF","gfs"
"2632","","2015","362670155.91","aufwand","ktn","CHF","gfs"
"271","","2015","","aufwand","ktn","CHF","gfs"
"272","","2015","11309200722.28","aufwand","ktn","CHF","gfs"
"273","","2015","171239347.86","aufwand","ktn","CHF","gfs"
"281","","2015","","aufwand","ktn","CHF","gfs"
"2821","","2015","7314345901.94","aufwand","ktn","CHF","gfs"
"2822","","2015","3092273590.33","aufwand","ktn","CHF","gfs"
"283","","2015","258550518.11","aufwand","ktn","CHF","gfs"
"1111","","2015","26812399990.71","ertrag","ktn","CHF","gfs"
"1112","","2015","6221025968.57","ertrag","ktn","CHF","gfs"
"1113","","2015","1194748408.04","ertrag","ktn","CHF","gfs"
"112","","2015","","ertrag","ktn","CHF","gfs"
"1131","","2015","348972199.55","ertrag","ktn","CHF","gfs"
"1132","","2015","4991634453.74","ertrag","ktn","CHF","gfs"
"1133","","2015","952367094.73","ertrag","ktn","CHF","gfs"
"1135","","2015","","ertrag","ktn","CHF","gfs"
"1136","","2015","709335602.62","ertrag","ktn","CHF","gfs"
"11411","","2015","","ertrag","ktn","CHF","gfs"
"11412","","2015","","ertrag","ktn","CHF","gfs"
"11413","","2015","","ertrag","ktn","CHF","gfs"
"11414","","2015","177333900.65","ertrag","ktn","CHF","gfs"
"1142","","2015","","ertrag","ktn","CHF","gfs"
"1143","","2015","","ertrag","ktn","CHF","gfs"
"1144","","2015","594474236.27","ertrag","ktn","CHF","gfs"
"11451","","2015","2180770518.62","ertrag","ktn","CHF","gfs"
"11452","","2015","96081200.65","ertrag","ktn","CHF","gfs"
"1146","","2015","","ertrag","ktn","CHF","gfs"
"1151","","2015","","ertrag","ktn","CHF","gfs"
"1152","","2015","","ertrag","ktn","CHF","gfs"
"1153","","2015","","ertrag","ktn","CHF","gfs"
"1154","","2015","","ertrag","ktn","CHF","gfs"
"1155","","2015","","ertrag","ktn","CHF","gfs"
"1156","","2015","","ertrag","ktn","CHF","gfs"
"116","","2015","259318990.92","ertrag","ktn","CHF","gfs"
"1211","","2015","","ertrag","ktn","CHF","gfs"
"1212","","2015","","ertrag","ktn","CHF","gfs"
"1213","","2015","","ertrag","ktn","CHF","gfs"
"1214","","2015","","ertrag","ktn","CHF","gfs"
"1221","","2015","","ertrag","ktn","CHF","gfs"
"1222","","2015","","ertrag","ktn","CHF","gfs"
"1223","","2015","171239347.86","ertrag","ktn","CHF","gfs"
"1311","","2015","105689430.43","ertrag","ktn","CHF","gfs"
"1312","","2015","82633.58","ertrag","ktn","CHF","gfs"
"1321","","2015","","ertrag","ktn","CHF","gfs"
"1322","","2015","","ertrag","ktn","CHF","gfs"
"1331","","2015","20993403293.58","ertrag","ktn","CHF","gfs"
"1332","","2015","1667894632.65","ertrag","ktn","CHF","gfs"
"1411","","2015","633548379.88","ertrag","ktn","CHF","gfs"
"1412","","2015","2815944675.87","ertrag","ktn","CHF","gfs"
"1413","","2015","52109167.49","ertrag","ktn","CHF","gfs"
"1414","","2015","49827494.35","ertrag","ktn","CHF","gfs"
"1415","","2015","520214646.48","ertrag","ktn","CHF","gfs"
"1416","","2015","","ertrag","ktn","CHF","gfs"
"1421","","2015","","ertrag","ktn","CHF","gfs"
"1422","","2015","1964621235.39","ertrag","ktn","CHF","gfs"
"1423","","2015","9010717167.72","ertrag","ktn","CHF","gfs"
"1424","","2015","3686267432.14","ertrag","ktn","CHF","gfs"
"143","","2015","664529862.44","ertrag","ktn","CHF","gfs"
"1441","","2015","1925968409.44","ertrag","ktn","CHF","gfs"
"1442","","2015","152844795.89","ertrag","ktn","CHF","gfs"
"145","","2015","153256308.28","ertrag","ktn","CHF","gfs"
"","7011","2015","1988338724.31","ausgaben_funk","ktn","CHF","gfs"
"","7012","2015","6066685.14","ausgaben_funk","ktn","CHF","gfs"
"","7013","2015","2959083059.23","ausgaben_funk","ktn","CHF","gfs"
"","7014","2015","4958305579.58","ausgaben_funk","ktn","CHF","gfs"
"","7015","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7016","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7017","2015","848214567.93","ausgaben_funk","ktn","CHF","gfs"
"","7018","2015","2252760321.78","ausgaben_funk","ktn","CHF","gfs"
"","7021","2015","103680970.67","ausgaben_funk","ktn","CHF","gfs"
"","7022","2015","165650441","ausgaben_funk","ktn","CHF","gfs"
"","7023","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7024","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7025","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7031","2015","2816959254.82","ausgaben_funk","ktn","CHF","gfs"
"","7032","2015","62416490.42","ausgaben_funk","ktn","CHF","gfs"
"","7033","2015","1657750210.68","ausgaben_funk","ktn","CHF","gfs"
"","7034","2015","1235372869.58","ausgaben_funk","ktn","CHF","gfs"
"","7035","2015","582377","ausgaben_funk","ktn","CHF","gfs"
"","7036","2015","1233263799.61","ausgaben_funk","ktn","CHF","gfs"
"","7041","2015","302726484.31","ausgaben_funk","ktn","CHF","gfs"
"","7042","2015","3583961461.34","ausgaben_funk","ktn","CHF","gfs"
"","7043","2015","251132733.16","ausgaben_funk","ktn","CHF","gfs"
"","7044","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7045","2015","6405268446.33","ausgaben_funk","ktn","CHF","gfs"
"","7046","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7047","2015","477299085.6","ausgaben_funk","ktn","CHF","gfs"
"","7048","2015","114655573.73","ausgaben_funk","ktn","CHF","gfs"
"","7049","2015","3722265.44","ausgaben_funk","ktn","CHF","gfs"
"","7051","2015","73914710.87","ausgaben_funk","ktn","CHF","gfs"
"","7052","2015","136261107.41","ausgaben_funk","ktn","CHF","gfs"
"","7053","2015","299957428.87","ausgaben_funk","ktn","CHF","gfs"
"","7054","2015","230995351.83","ausgaben_funk","ktn","CHF","gfs"
"","7055","2015","2037357.56","ausgaben_funk","ktn","CHF","gfs"
"","7056","2015","74894904.99","ausgaben_funk","ktn","CHF","gfs"
"","7061","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7062","2015","162112372.07","ausgaben_funk","ktn","CHF","gfs"
"","7063","2015","28696991.8","ausgaben_funk","ktn","CHF","gfs"
"","7064","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7065","2015","37875.6","ausgaben_funk","ktn","CHF","gfs"
"","7066","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7071","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7072","2015","679981451.27","ausgaben_funk","ktn","CHF","gfs"
"","7073","2015","10378017934.99","ausgaben_funk","ktn","CHF","gfs"
"","7074","2015","450041760.68","ausgaben_funk","ktn","CHF","gfs"
"","7075","2015","604386205.83","ausgaben_funk","ktn","CHF","gfs"
"","7076","2015","254419687.18","ausgaben_funk","ktn","CHF","gfs"
"","7081","2015","273140006.51","ausgaben_funk","ktn","CHF","gfs"
"","7082","2015","1241204564.16","ausgaben_funk","ktn","CHF","gfs"
"","7083","2015","2682206.15","ausgaben_funk","ktn","CHF","gfs"
"","7084","2015","246502588.66","ausgaben_funk","ktn","CHF","gfs"
"","7085","2015","206882.65","ausgaben_funk","ktn","CHF","gfs"
"","7086","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7091","2015","4269545711.6","ausgaben_funk","ktn","CHF","gfs"
"","7092","2015","8458292120.64","ausgaben_funk","ktn","CHF","gfs"
"","7093","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7094","2015","7225706526.97","ausgaben_funk","ktn","CHF","gfs"
"","7095","2015","2321120515.29","ausgaben_funk","ktn","CHF","gfs"
"","7096","2015","63836640.93","ausgaben_funk","ktn","CHF","gfs"
"","7097","2015","3013700","ausgaben_funk","ktn","CHF","gfs"
"","7098","2015","533353709.56","ausgaben_funk","ktn","CHF","gfs"
"","7101","2015","8967928403.68","ausgaben_funk","ktn","CHF","gfs"
"","7102","2015","3810475712.94","ausgaben_funk","ktn","CHF","gfs"
"","7103","2015","116070631.51","ausgaben_funk","ktn","CHF","gfs"
"","7104","2015","1308063330.3","ausgaben_funk","ktn","CHF","gfs"
"","7105","2015","803028518.41","ausgaben_funk","ktn","CHF","gfs"
"","7106","2015","88526098.19","ausgaben_funk","ktn","CHF","gfs"
"","7107","2015","4074005421.94","ausgaben_funk","ktn","CHF","gfs"
"","7108","2015","","ausgaben_funk","ktn","CHF","gfs"
"","7109","2015","33032011.25","ausgaben_funk","ktn","CHF","gfs"
"","7011","2015","44916801127.55","einnahmen_funk","ktn","CHF","gfs"
"","7012","2015","3666211.89","einnahmen_funk","ktn","CHF","gfs"
"","7013","2015","1024576652.62","einnahmen_funk","ktn","CHF","gfs"
"","7014","2015","5015468470.25","einnahmen_funk","ktn","CHF","gfs"
"","7015","2015","","einnahmen_funk","ktn","CHF","gfs"
"","7016","2015","","einnahmen_funk","ktn","CHF","gfs"
"","7017","2015","633548379.88","einnahmen_funk","ktn","CHF","gfs"
"","7018","2015","7748099213.54","einnahmen_funk","ktn","CHF","gfs"
