"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2017","42096298151.23","aufwand","staat","CHF","gfs"
"2121","","2017","8460670160.6","aufwand","staat","CHF","gfs"
"2122","","2017","382166419.44","aufwand","staat","CHF","gfs"
"22","","2017","24605237674.75","aufwand","staat","CHF","gfs"
"23","","2017","18681258772.69","aufwand","staat","CHF","gfs"
"24","","2017","2735635143.37","aufwand","staat","CHF","gfs"
"251","","2017","13601515327.9","aufwand","staat","CHF","gfs"
"252","","2017","8205250221.42","aufwand","staat","CHF","gfs"
"253","","2017","","aufwand","staat","CHF","gfs"
"2611","","2017","2496610816.56","aufwand","staat","CHF","gfs"
"2612","","2017","1627565.31","aufwand","staat","CHF","gfs"
"2621","","2017","1565661218.57","aufwand","staat","CHF","gfs"
"2622","","2017","","aufwand","staat","CHF","gfs"
"2631","","2017","","aufwand","staat","CHF","gfs"
"2632","","2017","","aufwand","staat","CHF","gfs"
"271","","2017","60056275332.4","aufwand","staat","CHF","gfs"
"272","","2017","17085178850.81","aufwand","staat","CHF","gfs"
"273","","2017","382207619.44","aufwand","staat","CHF","gfs"
"281","","2017","","aufwand","staat","CHF","gfs"
"2821","","2017","12416994148.08","aufwand","staat","CHF","gfs"
"2822","","2017","6583004901.7","aufwand","staat","CHF","gfs"
"283","","2017","439034119.93","aufwand","staat","CHF","gfs"
"1111","","2017","57361874433.28","ertrag","staat","CHF","gfs"
"1112","","2017","20410384627.92","ertrag","staat","CHF","gfs"
"1113","","2017","12096482917.5","ertrag","staat","CHF","gfs"
"112","","2017","","ertrag","staat","CHF","gfs"
"1131","","2017","1177890765.06","ertrag","staat","CHF","gfs"
"1132","","2017","9041744778.68","ertrag","staat","CHF","gfs"
"1133","","2017","1148158206.3","ertrag","staat","CHF","gfs"
"1135","","2017","","ertrag","staat","CHF","gfs"
"1136","","2017","994105782.5","ertrag","staat","CHF","gfs"
"11411","","2017","22689049925.56","ertrag","staat","CHF","gfs"
"11412","","2017","395855902.15","ertrag","staat","CHF","gfs"
"11413","","2017","","ertrag","staat","CHF","gfs"
"11414","","2017","1970104878.63","ertrag","staat","CHF","gfs"
"1142","","2017","8104590542.92","ertrag","staat","CHF","gfs"
"1143","","2017","","ertrag","staat","CHF","gfs"
"1144","","2017","1613877714.81","ertrag","staat","CHF","gfs"
"11451","","2017","2240244501","ertrag","staat","CHF","gfs"
"11452","","2017","2869677038.17","ertrag","staat","CHF","gfs"
"1146","","2017","311586686.32","ertrag","staat","CHF","gfs"
"1151","","2017","1102681685.33","ertrag","staat","CHF","gfs"
"1152","","2017","","ertrag","staat","CHF","gfs"
"1153","","2017","","ertrag","staat","CHF","gfs"
"1154","","2017","","ertrag","staat","CHF","gfs"
"1155","","2017","","ertrag","staat","CHF","gfs"
"1156","","2017","","ertrag","staat","CHF","gfs"
"116","","2017","1093248587.53","ertrag","staat","CHF","gfs"
"1211","","2017","20970691712.36","ertrag","staat","CHF","gfs"
"1212","","2017","21006100465.89","ertrag","staat","CHF","gfs"
"1213","","2017","3134515322.11","ertrag","staat","CHF","gfs"
"1214","","2017","","ertrag","staat","CHF","gfs"
"1221","","2017","","ertrag","staat","CHF","gfs"
"1222","","2017","","ertrag","staat","CHF","gfs"
"1223","","2017","382166419.44","ertrag","staat","CHF","gfs"
"1311","","2017","242458324.7","ertrag","staat","CHF","gfs"
"1312","","2017","175474.34","ertrag","staat","CHF","gfs"
"1321","","2017","","ertrag","staat","CHF","gfs"
"1322","","2017","","ertrag","staat","CHF","gfs"
"1331","","2017","","ertrag","staat","CHF","gfs"
"1332","","2017","","ertrag","staat","CHF","gfs"
"1411","","2017","1746275237.37","ertrag","staat","CHF","gfs"
"1412","","2017","4989751917.13","ertrag","staat","CHF","gfs"
"1413","","2017","1086218.36","ertrag","staat","CHF","gfs"
"1414","","2017","300706916.87","ertrag","staat","CHF","gfs"
"1415","","2017","853302032.84","ertrag","staat","CHF","gfs"
"1416","","2017","","ertrag","staat","CHF","gfs"
"1421","","2017","","ertrag","staat","CHF","gfs"
"1422","","2017","2888642327.31","ertrag","staat","CHF","gfs"
"1423","","2017","14176122394.82","ertrag","staat","CHF","gfs"
"1424","","2017","6362016213.53","ertrag","staat","CHF","gfs"
"143","","2017","1099991622.05","ertrag","staat","CHF","gfs"
"1441","","2017","5763732179.9","ertrag","staat","CHF","gfs"
"1442","","2017","1172883732.5","ertrag","staat","CHF","gfs"
"145","","2017","188737445.78","ertrag","staat","CHF","gfs"
"","7011","2017","6099713162.48","ausgaben_funk","staat","CHF","gfs"
"","7012","2017","2850842900.19","ausgaben_funk","staat","CHF","gfs"
"","7013","2017","9565408214.39","ausgaben_funk","staat","CHF","gfs"
"","7014","2017","9903538915.7","ausgaben_funk","staat","CHF","gfs"
"","7015","2017","12532818.75","ausgaben_funk","staat","CHF","gfs"
"","7016","2017","","ausgaben_funk","staat","CHF","gfs"
"","7017","2017","2735635143.37","ausgaben_funk","staat","CHF","gfs"
"","7018","2017","","ausgaben_funk","staat","CHF","gfs"
"","7021","2017","4792187227.35","ausgaben_funk","staat","CHF","gfs"
"","7022","2017","443277652.81","ausgaben_funk","staat","CHF","gfs"
"","7023","2017","148382268.84","ausgaben_funk","staat","CHF","gfs"
"","7024","2017","20251649.46","ausgaben_funk","staat","CHF","gfs"
"","7025","2017","","ausgaben_funk","staat","CHF","gfs"
"","7031","2017","4423064497.18","ausgaben_funk","staat","CHF","gfs"
"","7032","2017","748637116.14","ausgaben_funk","staat","CHF","gfs"
"","7033","2017","1930941977.92","ausgaben_funk","staat","CHF","gfs"
"","7034","2017","1295994614.64","ausgaben_funk","staat","CHF","gfs"
"","7035","2017","1519299.9","ausgaben_funk","staat","CHF","gfs"
"","7036","2017","2346206680.1","ausgaben_funk","staat","CHF","gfs"
"","7041","2017","727691000.23","ausgaben_funk","staat","CHF","gfs"
"","7042","2017","4684481521.5","ausgaben_funk","staat","CHF","gfs"
"","7043","2017","1988545223.28","ausgaben_funk","staat","CHF","gfs"
"","7044","2017","","ausgaben_funk","staat","CHF","gfs"
"","7045","2017","16991833874.55","ausgaben_funk","staat","CHF","gfs"
"","7046","2017","56695921.02","ausgaben_funk","staat","CHF","gfs"
"","7047","2017","988145480.22","ausgaben_funk","staat","CHF","gfs"
"","7048","2017","734974174.45","ausgaben_funk","staat","CHF","gfs"
"","7049","2017","34427165.68","ausgaben_funk","staat","CHF","gfs"
"","7051","2017","1024587621.38","ausgaben_funk","staat","CHF","gfs"
"","7052","2017","1786907699.58","ausgaben_funk","staat","CHF","gfs"
"","7053","2017","449350368.51","ausgaben_funk","staat","CHF","gfs"
"","7054","2017","287679475.92","ausgaben_funk","staat","CHF","gfs"
"","7055","2017","201358859.39","ausgaben_funk","staat","CHF","gfs"
"","7056","2017","260359357.29","ausgaben_funk","staat","CHF","gfs"
"","7061","2017","","ausgaben_funk","staat","CHF","gfs"
"","7062","2017","437727200.7","ausgaben_funk","staat","CHF","gfs"
"","7063","2017","820907336.77","ausgaben_funk","staat","CHF","gfs"
"","7064","2017","","ausgaben_funk","staat","CHF","gfs"
"","7065","2017","123486.37","ausgaben_funk","staat","CHF","gfs"
"","7066","2017","","ausgaben_funk","staat","CHF","gfs"
"","7071","2017","","ausgaben_funk","staat","CHF","gfs"
"","7072","2017","1288333759.98","ausgaben_funk","staat","CHF","gfs"
"","7073","2017","11240024657.9","ausgaben_funk","staat","CHF","gfs"
"","7074","2017","815553078.37","ausgaben_funk","staat","CHF","gfs"
"","7075","2017","694572472.03","ausgaben_funk","staat","CHF","gfs"
"","7076","2017","358998909.61","ausgaben_funk","staat","CHF","gfs"
"","7081","2017","2379522582.05","ausgaben_funk","staat","CHF","gfs"
"","7082","2017","2790473807.99","ausgaben_funk","staat","CHF","gfs"
"","7083","2017","1513764540.87","ausgaben_funk","staat","CHF","gfs"
"","7084","2017","313028026.94","ausgaben_funk","staat","CHF","gfs"
"","7085","2017","2695699.63","ausgaben_funk","staat","CHF","gfs"
"","7086","2017","","ausgaben_funk","staat","CHF","gfs"
"","7091","2017","6812612102.76","ausgaben_funk","staat","CHF","gfs"
"","7092","2017","10063426199.89","ausgaben_funk","staat","CHF","gfs"
"","7093","2017","","ausgaben_funk","staat","CHF","gfs"
"","7094","2017","8589853280.88","ausgaben_funk","staat","CHF","gfs"
"","7095","2017","7108864124.14","ausgaben_funk","staat","CHF","gfs"
"","7096","2017","590485799.61","ausgaben_funk","staat","CHF","gfs"
"","7097","2017","394447363.61","ausgaben_funk","staat","CHF","gfs"
"","7098","2017","563026761.84","ausgaben_funk","staat","CHF","gfs"
"","7101","2017","19714512835.24","ausgaben_funk","staat","CHF","gfs"
"","7102","2017","45406364762.96","ausgaben_funk","staat","CHF","gfs"
"","7103","2017","2073836292.17","ausgaben_funk","staat","CHF","gfs"
"","7104","2017","3938744036.58","ausgaben_funk","staat","CHF","gfs"
"","7105","2017","7626259295.8","ausgaben_funk","staat","CHF","gfs"
"","7106","2017","165582409.66","ausgaben_funk","staat","CHF","gfs"
"","7107","2017","8856514227.15","ausgaben_funk","staat","CHF","gfs"
"","7108","2017","5474451.36","ausgaben_funk","staat","CHF","gfs"
"","7109","2017","61238398.09","ausgaben_funk","staat","CHF","gfs"
"","7011","2017","144333654479.37","einnahmen_funk","staat","CHF","gfs"
"","7012","2017","54876016.3","einnahmen_funk","staat","CHF","gfs"
"","7013","2017","2365446902.39","einnahmen_funk","staat","CHF","gfs"
"","7014","2017","7110851987.55","einnahmen_funk","staat","CHF","gfs"
"","7015","2017","7649904.99","einnahmen_funk","staat","CHF","gfs"
"","7016","2017","","einnahmen_funk","staat","CHF","gfs"
"","7017","2017","1746275237.37","einnahmen_funk","staat","CHF","gfs"
"","7018","2017","","einnahmen_funk","staat","CHF","gfs"
"","7021","2017","294128381.02","einnahmen_funk","staat","CHF","gfs"
"","7022","2017","141039872.24","einnahmen_funk","staat","CHF","gfs"
"","7023","2017","","einnahmen_funk","staat","CHF","gfs"
"","7024","2017","8839291.68","einnahmen_funk","staat","CHF","gfs"
"","7025","2017","","einnahmen_funk","staat","CHF","gfs"
"","7031","2017","932165556.13","einnahmen_funk","staat","CHF","gfs"
