"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2023","408347840.68","aufwand","sv","CHF","gfs"
"2121","","2023","78637644.02","aufwand","sv","CHF","gfs"
"2122","","2023","1561984.37","aufwand","sv","CHF","gfs"
"22","","2023","1541263971.58","aufwand","sv","CHF","gfs"
"23","","2023","1018831.93","aufwand","sv","CHF","gfs"
"24","","2023","50761518.24","aufwand","sv","CHF","gfs"
"251","","2023","9915484","aufwand","sv","CHF","gfs"
"252","","2023","47097363.46","aufwand","sv","CHF","gfs"
"253","","2023","","aufwand","sv","CHF","gfs"
"2611","","2023","","aufwand","sv","CHF","gfs"
"2612","","2023","","aufwand","sv","CHF","gfs"
"2621","","2023","","aufwand","sv","CHF","gfs"
"2622","","2023","","aufwand","sv","CHF","gfs"
"2631","","2023","","aufwand","sv","CHF","gfs"
"2632","","2023","","aufwand","sv","CHF","gfs"
"271","","2023","66466160184.81","aufwand","sv","CHF","gfs"
"272","","2023","","aufwand","sv","CHF","gfs"
"273","","2023","1561984.37","aufwand","sv","CHF","gfs"
"281","","2023","","aufwand","sv","CHF","gfs"
"2821","","2023","506062201.01","aufwand","sv","CHF","gfs"
"2822","","2023","11025573.52","aufwand","sv","CHF","gfs"
"283","","2023","","aufwand","sv","CHF","gfs"
"1111","","2023","","ertrag","sv","CHF","gfs"
"1112","","2023","","ertrag","sv","CHF","gfs"
"1113","","2023","","ertrag","sv","CHF","gfs"
"112","","2023","","ertrag","sv","CHF","gfs"
"1131","","2023","","ertrag","sv","CHF","gfs"
"1132","","2023","","ertrag","sv","CHF","gfs"
"1133","","2023","","ertrag","sv","CHF","gfs"
"1135","","2023","","ertrag","sv","CHF","gfs"
"1136","","2023","","ertrag","sv","CHF","gfs"
"11411","","2023","","ertrag","sv","CHF","gfs"
"11412","","2023","","ertrag","sv","CHF","gfs"
"11413","","2023","","ertrag","sv","CHF","gfs"
"11414","","2023","","ertrag","sv","CHF","gfs"
"1142","","2023","","ertrag","sv","CHF","gfs"
"1143","","2023","","ertrag","sv","CHF","gfs"
"1144","","2023","","ertrag","sv","CHF","gfs"
"11451","","2023","","ertrag","sv","CHF","gfs"
"11452","","2023","","ertrag","sv","CHF","gfs"
"1146","","2023","","ertrag","sv","CHF","gfs"
"1151","","2023","","ertrag","sv","CHF","gfs"
"1152","","2023","","ertrag","sv","CHF","gfs"
"1153","","2023","","ertrag","sv","CHF","gfs"
"1154","","2023","","ertrag","sv","CHF","gfs"
"1155","","2023","","ertrag","sv","CHF","gfs"
"1156","","2023","","ertrag","sv","CHF","gfs"
"116","","2023","","ertrag","sv","CHF","gfs"
